,county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2361,Randolph,WV,38.769899,-79.87919615,29152.0,12200.0,8673.0,3362.0,0.711,0.276,429.0,1.0,14921.0,14231.0,0.9,96.1,1.9,0.3,0.5,0.0,40094.0,23642.0,18.3,29.6,23.9,21.0,12.0,13.5,79.5,12.6,0.0,3.4,0.7,3.8,21.4,11496.0,76.5,18.6,4.8,0.0,7.3
2362,Rankin,MS,32.26469147,-89.94537876,149645.0,53400.0,39025.0,13496.0,0.731,0.253,4187.0,86.0,72198.0,77447.0,2.6,74.9,20.0,0.1,1.2,0.0,61605.0,29055.0,8.5,40.1,15.1,25.2,10.4,9.3,87.4,8.7,0.1,0.5,0.9,2.5,25.4,71953.0,75.8,18.8,5.3,0.1,4.5
2363,Ransom,ND,46.45621782,-97.65742504,5411.0,2454.0,1418.0,945.0,0.578,0.385,225.0,3.0,2772.0,2639.0,1.6,95.0,0.7,0.2,0.6,0.0,62524.0,33574.0,6.6,31.4,19.1,13.9,12.2,23.5,71.9,13.8,0.0,4.6,0.1,9.6,18.6,2794.0,72.4,13.6,13.9,0.1,2.4
2364,Rapides,LA,31.19778499,-92.52997303,132080.0,58865.0,38347.0,19475.0,0.6509999999999999,0.331,4800.0,161.0,63888.0,68192.0,3.0,61.4,31.9,0.6,1.6,0.0,42655.0,23486.0,19.5,32.4,22.3,23.1,10.2,12.0,82.2,9.7,1.7,1.8,2.3,2.3,22.5,53417.0,74.3,20.9,4.5,0.3,7.7
2365,Rappahannock,VA,38.68295619,-78.15826963,7359.0,4964.0,2812.0,2096.0,0.5660000000000001,0.42200000000000004,70.0,2.0,3646.0,3713.0,3.5,89.2,3.8,0.2,1.2,0.0,62541.0,38185.0,8.9,39.6,18.0,24.5,12.4,5.5,73.4,13.5,0.8,3.6,0.9,7.9,37.9,3580.0,67.4,18.8,13.7,0.2,2.9
2366,Ravalli,MT,46.08520862,-114.11891640000002,41387.0,28490.0,19103.0,8757.0,0.6709999999999999,0.307,535.0,4.0,20574.0,20813.0,3.3,93.2,0.1,0.6,0.6,0.0,44733.0,25151.0,16.0,34.9,18.7,21.1,14.8,10.5,70.3,15.5,0.1,3.5,2.4,8.2,22.8,17549.0,68.9,15.5,14.8,0.8,6.8
2367,Rawlins,KS,39.78525843,-101.07616170000001,2520.0,1496.0,1253.0,214.0,0.838,0.14300000000000002,96.0,0.0,1300.0,1220.0,6.0,91.7,0.4,0.4,0.3,0.0,50893.0,27615.0,8.7,41.9,13.1,20.6,15.0,9.4,69.3,11.9,0.3,6.3,1.0,11.3,15.0,1240.0,62.5,16.8,20.6,0.2,1.5
2368,Ray,MO,39.353746799999996,-93.98905745,22859.0,11654.0,8328.0,3107.0,0.715,0.267,315.0,2.0,11351.0,11508.0,2.3,94.0,1.5,0.5,0.2,0.0,57270.0,26781.0,15.6,26.0,15.6,21.5,12.6,24.3,84.2,11.4,0.1,1.2,0.4,2.6,30.3,10601.0,82.0,11.3,6.8,0.0,5.4
2369,Reagan,TX,31.36607041,-101.52326590000001,3735.0,1124.0,942.0,172.0,0.838,0.153,97.0,6.0,1986.0,1749.0,70.1,28.9,0.7,0.0,0.0,0.0,59760.0,25273.0,18.0,19.7,9.0,25.9,25.8,19.6,80.4,14.6,0.0,1.3,1.2,2.5,16.6,1752.0,74.3,16.8,9.0,0.0,3.9
2370,Real,TX,29.83321503,-99.82018052,3358.0,1982.0,1643.0,320.0,0.8290000000000001,0.161,126.0,8.0,1553.0,1805.0,19.8,80.0,0.2,0.0,0.0,0.0,36493.0,20873.0,20.2,28.9,23.6,29.7,13.6,4.3,62.6,13.9,0.0,7.1,5.0,11.4,16.3,1281.0,73.4,10.7,15.9,0.0,6.1
