county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Hampshire ,WV,3600,2425,496,0,0,557
Hampton ,SC,7716,1737,84,0,0,58
Hampton city,VA,32989,12931,5428,180,6872,8671
Hancock ,GA,1139,397,0,0,0,6
Hancock ,IL,2688,4953,1521,0,0,973
Hancock ,IN,16311,5998,4626,0,0,24
Hancock ,IA,2655,3502,1444,0,0,0
Hancock ,KY,6628,1027,733,0,0,0
Hancock ,ME,1288,4691,2523,0,0,820
Hancock ,MS,5182,1904,5392,0,0,611
Hancock ,OH,9497,14130,9434,0,0,632
Hancock ,TN,5647,144,4,0,0,0
Hancock ,WV,4404,3758,7780,563,0,7
Hand ,SD,183,909,1157,0,0,46
Hanover ,VA,26659,13416,5183,30,0,2512
Hansford ,TX,2173,1340,1200,0,0,0
Hanson ,SD,668,162,1184,0,0,0
Haralson ,GA,12170,1566,0,0,0,321
Hardee ,FL,10969,662,1700,0,0,143
Hardeman ,TN,11904,1031,125,0,0,2
Hardeman ,TX,2931,849,90,0,0,3
Hardin ,IL,1026,51,150,0,0,1
Hardin ,IA,3834,7025,883,0,0,4
Hardin ,KY,36503,4993,6986,0,0,1363
Hardin ,OH,3898,5769,1800,0,0,0
Hardin ,TN,11563,2248,507,0,0,0
Hardin ,TX,21993,3211,3214,0,0,852
Harding ,NM,197,53,608,0,0,0
Harding ,SD,347,193,502,0,0,0
Hardy ,WV,3698,2150,153,0,0,0
Harford ,MD,23645,22305,44618,900,0,2675
Harlan ,KY,12152,1524,207,0,0,151
Harlan ,NE,684,824,248,0,0,0
Harmon ,OK,3824,218,78,0,0,4
Harnett ,NC,26479,8199,895,0,0,533
Harney ,OR,480,202,689,0,0,697
Harper ,KS,1639,1087,1100,0,0,2
Harper ,OK,2059,859,154,0,0,0
Harris ,GA,7657,1420,941,0,0,326
Harris ,TX,1077287,278855,741896,12884,117148,213212
Harrison ,IN,5399,5225,4447,0,0,289
Harrison ,IA,1988,2577,1969,0,0,1316
Harrison ,KY,6773,2691,700,0,0,0
Harrison ,MS,39995,12867,30667,85,200,3735
Harrison ,MO,3196,1929,137,0,0,319
Harrison ,OH,1118,2597,535,0,0,0
Harrison ,TX,28169,3507,3641,0,0,418
Harrison ,WV,8406,16442,8647,110,308,1069
Harrisonburg city,VA,9409,5997,4565,0,3436,4692
Hart ,GA,13017,2128,2650,0,0,115
Hart ,KY,7710,1277,205,0,0,0
Hartford ,CT,50619,73522,278203,3665,3056,28183
Hartley ,TX,1559,255,0,0,0,0
Harvey ,KS,10235,5000,3500,0,0,611
Haskell ,KS,1247,541,517,0,0,1
Haskell ,OK,7086,431,62,0,0,0
Haskell ,TX,4921,557,577,0,0,1
Hawaii ,HI,16302,5882,30616,25,0,38701
Hawkins ,TN,26592,4034,156,0,0,248
Hayes ,NE,105,56,0,0,0,0
Hays ,TX,23425,9809,36801,75,2542,6253
Haywood ,NC,30947,9470,1202,0,0,420
Haywood ,TN,6552,1583,232,0,0,62
Heard ,GA,5322,438,0,0,0,4
Hemphill ,TX,2045,618,321,0,0,0
Hempstead ,AR,7340,1277,386,0,0,225
Henderson ,IL,479,1767,190,0,0,1
Henderson ,KY,17331,4434,4288,0,0,336
Henderson ,NC,35836,10944,6329,65,0,1351
Henderson ,TN,11263,1475,140,0,0,8
Henderson ,TX,26143,3936,8560,0,0,563
Hendricks ,IN,31617,11909,10861,0,308,4591
Hendry ,FL,6484,1384,2600,0,0,123
Hennepin ,MN,162094,193498,215205,3337,7760,41287
Henrico ,VA,86344,35802,17097,135,13744,16624
Henry ,AL,6025,904,0,0,0,0
Henry ,GA,51021,12828,3766,0,0,755
Henry ,IL,4617,11117,6390,0,0,390
Henry ,IN,11855,6312,626,0,0,275
Henry ,IA,2572,5334,1085,0,0,331
Henry ,KY,5663,1595,206,0,0,0
Henry ,MO,8678,2688,1548,0,0,756
Henry ,OH,8636,6958,3435,0,0,0
Henry ,TN,15167,2639,1000,0,0,827
Henry ,VA,21481,3150,0,0,0,487
Herkimer ,NY,1461,7135,15425,334,0,450
Hernando ,FL,20205,6482,17068,235,1397,2774
Hertford ,NC,7097,937,125,0,0,126
Hettinger ,ND,306,660,1483,0,0,0
Hickman ,KY,4297,559,183,0,0,5
Hickman ,TN,7892,1075,120,0,0,1
Hickory ,MO,2639,831,230,0,0,0
Hidalgo ,NM,383,116,2871,0,0,460
Hidalgo ,TX,75327,14394,269071,160,7626,18510
Highland ,OH,8436,4490,780,0,0,125
Highland ,VA,450,954,0,0,0,8
Highlands ,FL,20134,6249,4000,0,1397,2033
Hill ,MT,1615,2039,1820,0,0,601
Hill ,TX,14202,2363,915,0,0,354
Hillsborough ,FL,224054,59348,130973,2463,20970,50901
Hillsborough ,NH,20588,17794,124993,2990,1308,7365
Hillsdale ,MI,6306,2187,2198,0,0,366
Hinds ,MS,91042,29101,7293,520,808,4672
Hinsdale ,CO,82,141,57,0,0,0
Hitchcock ,NE,775,726,292,0,0,0
Hocking ,OH,3171,3190,1000,0,0,118
Hockley ,TX,12366,1004,3882,0,0,0
Hodgeman ,KS,175,742,364,0,0,0
Hoke ,NC,6634,1878,729,0,308,311
Holmes ,FL,8030,569,102,0,0,717
Holmes ,MS,5261,1591,41,0,0,48
Holmes ,OH,25994,2327,625,0,0,3
Holt ,MO,1871,1568,50,0,0,182
Holt ,NE,2338,1706,3044,0,0,134
Honolulu ,HI,92310,28013,173716,300,308,80221
Hood ,TX,18218,6650,3450,0,0,789
Hood River ,OR,2545,1505,3693,0,0,844
Hooker ,NE,136,230,70,0,0,0
Hoonah-Angoon Census Area,AK,198,21,125,200,0,89
Hopewell city,VA,7875,2666,930,120,0,8
Hopkins ,KY,20539,4387,789,0,0,583
Hopkins ,TX,14942,2148,3860,0,0,328
Horry ,SC,61718,18278,18159,730,308,3148
Hot Spring ,AR,12736,1552,90,0,0,2
Hot Springs ,WY,592,446,431,0,0,552
Houghton ,MI,2841,4026,8374,100,0,356
Houston ,AL,60486,12245,2551,40,616,1882
Houston ,GA,45802,15046,6124,0,762,4592
Houston ,MN,2803,5884,4848,0,0,2
Houston ,TN,2292,703,150,0,0,0
Houston ,TX,7982,1485,1411,0,0,145
Howard ,AR,5521,794,150,0,0,81
Howard ,IN,25100,9026,5200,85,308,1029
Howard ,IA,1104,2914,3930,0,0,2
Howard ,MD,33403,24571,54058,1065,308,8163
Howard ,MO,2224,1824,790,0,0,120
Howard ,NE,1063,914,1467,0,0,1
Howard ,TX,12589,2041,4500,0,0,407
Howell ,MO,13507,1354,1180,0,0,807
Hubbard ,MN,2703,3293,2100,0,0,6
Hudson ,NJ,19890,12853,280930,6318,21042,38322
Hudspeth ,TX,262,44,1460,0,0,2
Huerfano ,CO,556,374,3508,0,0,61
Hughes ,OK,6590,954,38,0,0,14
Hughes ,SD,4545,5280,2822,0,0,410
Humboldt ,CA,9256,4364,9901,65,0,5373
Humboldt ,IA,1741,4613,1317,0,0,0
Humboldt ,NV,1379,189,4096,0,0,2048
Humphreys ,MS,2504,477,49,0,0,7
Humphreys ,TN,8494,1687,600,0,0,0
Hunt ,TX,34158,4690,2361,0,50,1002
Hunterdon ,NJ,4222,12472,47122,362,150,1336
Huntingdon ,PA,6310,7471,2572,20,0,306
Huntington ,IN,8822,4185,4876,0,0,600
Huron ,MI,7250,2895,6765,0,0,580
Huron ,OH,6079,7522,13950,0,0,1
Hutchinson ,SD,4194,969,1254,0,0,1
Hutchinson ,TX,12412,1449,900,0,0,400
Hyde ,NC,334,736,0,0,0,1
Hyde ,SD,171,616,1245,0,0,0
Iberia Parish,LA,8188,1813,38914,0,0,390
Iberville Parish,LA,11916,768,11068,0,308,321
Ida ,IA,2029,2954,988,0,0,0
Idaho ,ID,1732,529,2729,0,0,633
Imperial ,CA,12707,1137,49226,0,150,3633
Independence ,AR,17227,2988,350,0,0,366
Indian River ,FL,14161,9975,36514,0,1397,3022
Indiana ,PA,10777,16441,12383,423,812,1348
Ingham ,MI,32440,22062,44637,840,4050,9000
Inyo ,CA,1494,845,4827,0,0,629
Ionia ,MI,6029,3348,12410,30,0,263
Iosco ,MI,4108,2593,3070,0,0,409
Iowa ,IA,4297,2561,2633,0,0,3
Iowa ,WI,694,4247,6632,0,0,28
Iredell ,NC,44803,21637,9487,360,308,2352
Irion ,TX,423,286,500,0,0,0
Iron ,MI,612,1981,3451,0,0,1
Iron ,MO,4031,454,354,0,0,1
Iron ,UT,1384,252,2248,0,0,31886
Iron ,WI,388,181,2173,0,0,0
Iroquois ,IL,7176,4549,3890,0,0,93
Irwin ,GA,3375,356,0,0,0,1
Isabella ,MI,6296,2751,10176,0,1563,2423
Isanti ,MN,2440,6149,3166,0,0,3
Island ,WA,7546,5207,2962,0,0,2546
Isle of Wight ,VA,5901,3952,778,0,0,1591
Issaquena ,MS,138,21,0,0,0,0
Itasca ,MN,6482,6374,8485,30,0,340
Itawamba ,MS,7398,2053,67,0,0,157
Izard ,AR,5653,784,125,0,0,11
Jack ,TX,3355,641,158,0,0,8
Jackson ,AL,24116,2116,1515,0,0,330
Jackson ,AR,8559,1005,50,0,0,0
Jackson ,CO,137,124,85,0,0,0
Jackson ,FL,16156,2565,371,0,0,675
Jackson ,GA,17630,3383,268,0,0,569
Jackson ,IL,14130,5250,4220,0,3298,4412
Jackson ,IN,17044,5053,1500,0,0,252
Jackson ,IA,250,4651,6843,0,0,122
Jackson ,KS,1753,2487,1261,0,0,198
Jackson ,KY,3193,290,48,0,0,33
Jackson ,MI,16909,8645,19651,112,0,1649
Jackson ,MN,2338,3451,2016,0,0,0
Jackson ,MS,41796,11996,12438,0,0,1254
Jackson ,MO,154390,61299,69441,1235,2614,34880
Jackson ,NC,13660,3825,1278,0,0,549
Jackson ,OH,4711,3775,350,0,0,638
Jackson ,OK,9845,3840,450,0,0,571
Jackson ,OR,25890,5252,16565,100,0,10057
Jackson ,SD,213,383,1090,0,0,66
Jackson ,TN,3031,422,0,0,0,5
Jackson ,TX,4807,1214,4127,0,0,0
Jackson ,WV,3851,4596,267,0,0,252
Jackson ,WI,3008,4715,1440,0,0,1
Jackson Parish,LA,8815,807,150,0,0,125
James City ,VA,5322,5312,10601,0,3436,4672
Jasper ,GA,3197,930,0,0,0,9
Jasper ,IL,1710,1013,2335,0,0,2
Jasper ,IN,5554,3587,4341,0,0,155
Jasper ,IA,5173,7916,2431,0,0,607
Jasper ,MS,5637,1491,50,0,0,0
Jasper ,MO,50313,8100,6024,0,60,3052
Jasper ,SC,3877,687,956,0,0,681
Jasper ,TX,18118,1992,1912,0,0,691
Jay ,IN,3293,3096,1731,0,0,100
Jeff Davis ,GA,6679,398,463,0,0,338
Jeff Davis ,TX,485,255,380,0,0,1
Jefferson ,AL,308984,67037,55083,1424,3348,13073
Jefferson ,AR,26985,5881,1121,0,308,975
Jefferson ,CO,68794,22716,80219,1070,558,17966
Jefferson ,FL,4269,1506,273,0,0,35
Jefferson ,GA,5786,1668,60,0,0,5
Jefferson ,ID,213,145,132,0,0,18914
Jefferson ,IL,17212,2260,1409,0,0,281
Jefferson ,IN,5658,5947,2500,0,0,342
Jefferson ,IA,1716,2813,1020,0,0,739
Jefferson ,KS,2770,2988,1829,0,0,3
Jefferson ,KY,180149,48598,120620,1180,6340,19947
Jefferson ,MS,773,833,109,0,0,1
Jefferson ,MO,40846,6917,30495,260,0,925
Jefferson ,MT,735,234,990,0,0,577
Jefferson ,NE,1905,2805,794,0,0,1
Jefferson ,NY,4888,10124,21194,140,1522,3176
Jefferson ,OH,5548,10273,13851,1089,0,612
Jefferson ,OK,4951,868,35,0,0,0
Jefferson ,OR,3294,477,1156,0,0,649
Jefferson ,PA,5379,10527,10341,0,0,364
Jefferson ,TN,21703,4675,698,0,0,4
Jefferson ,TX,76088,14187,71211,415,7626,11594
Jefferson ,WA,2747,1351,1786,100,0,1490
Jefferson ,WV,4756,7083,4679,0,0,729
Jefferson ,WI,21916,12030,18637,0,0,364
Jefferson Davis ,MS,3617,384,230,0,0,38
Jefferson Davis Parish,LA,6078,1384,16100,0,0,230
Jefferson Parish,LA,57266,9908,148827,300,2808,9666
Jenkins ,GA,3838,727,132,0,0,3
Jennings ,IN,4793,2854,2230,0,0,578
Jerauld ,SD,236,857,326,0,0,1
Jerome ,ID,1445,547,6511,0,0,4827
Jersey ,IL,2453,3178,6962,0,0,1
Jessamine ,KY,7679,3553,820,120,0,1173
Jewell ,KS,612,1022,191,0,0,0
Jim Hogg ,TX,326,120,4600,0,0,0
Jim Wells ,TX,7660,966,17258,37,0,603
Jo Daviess ,IL,951,4000,7844,0,0,124
Johnson ,AR,9764,915,618,0,308,885
Johnson ,GA,3399,369,0,0,0,0
Johnson ,IL,3643,735,162,0,0,83
Johnson ,IN,41166,9942,11589,27,0,1325
Johnson ,IA,10223,16310,15691,120,308,3756
Johnson ,KS,99699,71068,102131,1505,2616,21644
Johnson ,KY,4977,925,325,0,0,316
Johnson ,MO,13562,2991,1815,0,308,1651
Johnson ,NE,1281,816,1508,0,0,28
Johnson ,TN,8183,769,110,0,0,1
Johnson ,TX,55674,7711,1878,0,0,2014
Johnson ,WY,1243,903,1199,0,0,440
Johnston ,NC,41366,12784,4263,0,0,1092
Johnston ,OK,6093,484,20,0,0,2
Jones ,GA,7173,1409,0,0,0,334
Jones ,IA,1122,5308,3463,0,0,7
Jones ,MS,35353,3811,1350,0,0,427
Jones ,NC,1836,831,0,0,0,0
Jones ,SD,226,236,46,0,0,1
Jones ,TX,6838,1246,997,0,0,3
Josephine ,OR,10843,2417,3891,0,0,4348
Juab ,UT,0,32,145,0,0,8374
Judith Basin ,MT,62,165,978,0,0,3
Juneau ,WI,3480,3652,5280,0,0,5
Juneau City and Borough,AK,2867,1933,1900,150,0,2119
Juniata ,PA,3645,5497,264,0,0,1747
Kalamazoo ,MI,37002,24155,23876,275,2563,6306
Kalawao ,HI,0,3,0,0,0,0
Kalkaska ,MI,1805,324,779,0,0,162
Kanabec ,MN,1960,2836,1320,0,0,2
Kanawha ,WV,31202,27583,7331,1136,0,2020
Kandiyohi ,MN,8753,16668,5376,0,0,283
Kane ,IL,50728,36576,155391,1630,13192,19744
Kane ,UT,213,176,242,0,0,4119
Kankakee ,IL,16364,8003,27840,60,0,400
Karnes ,TX,2797,952,4435,0,0,1
Kauai ,HI,5725,3033,10108,0,0,7648
Kaufman ,TX,35395,4554,6064,43,0,1282
Kay ,OK,15936,8532,2979,0,0,806
Kearney ,NE,1341,2464,446,0,0,2
Kearny ,KS,693,980,1165,0,0,0
Keith ,NE,2346,1611,1300,0,0,128
Kemper ,MS,1769,2104,0,0,0,0
Kenai Peninsula Borough,AK,9688,1407,2810,859,0,3079
Kendall ,IL,6500,5805,26089,0,0,1054
Kendall ,TX,5424,4598,5980,0,0,1146
Kenedy ,TX,0,0,125,0,0,0
Kennebec ,ME,5829,8999,21758,0,0,2466
Kenosha ,WI,15183,9675,35008,300,308,1635
Kent ,DE,14992,14931,16679,100,308,2718
Kent ,MD,1814,4551,2588,0,0,72
Kent ,MI,141345,47892,114437,1730,8252,15674
Kent ,RI,3786,9853,79337,0,0,2175
Kent ,TX,630,55,73,0,0,0
Kenton ,KY,22877,8904,42500,0,200,2658
Keokuk ,IA,303,2531,1582,0,0,2
Kern ,CA,114724,7459,245836,450,4218,30687
Kerr ,TX,12582,7413,5354,10,0,871
Kershaw ,SC,22139,5627,1724,0,0,1166
Ketchikan Gateway Borough,AK,1917,643,920,0,0,766
Kewaunee ,WI,3257,663,10606,0,0,8
Keweenaw ,MI,0,370,257,0,0,2
Keya Paha ,NE,304,164,0,0,0,0
Kidder ,ND,520,1182,325,0,0,0
Kimball ,NE,406,746,300,0,0,0
Kimble ,TX,1759,895,500,0,0,0
King ,TX,257,0,0,0,0,0
King ,WA,204523,104806,278340,12257,12288,119713
King and Queen ,VA,1667,518,0,0,0,1
King George ,VA,4743,1932,825,0,0,274
King William ,VA,4086,1424,569,0,0,8
Kingfisher ,OK,5986,2940,2546,0,0,15
Kingman ,KS,823,2036,2100,0,0,0
Kings ,CA,10014,3586,66133,0,1108,4742
Kings ,NY,131374,85439,623796,15945,95126,397277
Kingsbury ,SD,403,3485,857,0,0,1
Kinney ,TX,660,277,1408,0,0,2
Kiowa ,CO,1356,255,0,0,0,1
Kiowa ,KS,997,932,157,0,0,1
Kiowa ,OK,6160,1456,172,0,0,1
Kit Carson ,CO,1879,1229,1031,0,0,354
Kitsap ,WA,33373,11484,8572,140,0,12378
Kittitas ,WA,3427,1346,4800,0,0,1973
Kittson ,MN,889,2752,500,0,0,0
Klamath ,OR,7945,2218,4460,0,308,3677
Kleberg ,TX,4739,1444,11798,0,2541,3181
Klickitat ,WA,2026,654,2200,55,0,981
Knott ,KY,3332,243,0,0,0,1
Knox ,IL,5208,8952,3347,0,0,726
Knox ,IN,6735,5699,4867,0,0,795
Knox ,KY,15334,859,678,0,0,0
Knox ,ME,1813,4400,4340,0,0,569
Knox ,MO,1413,508,450,0,0,0
Knox ,NE,1158,3394,2128,0,0,4
Knox ,OH,13143,6260,3250,0,0,389
Knox ,TN,183754,51345,21988,818,924,7178
Knox ,TX,2129,452,725,0,0,0
Kodiak Island Borough,AK,1239,217,500,1399,0,463
Koochiching ,MN,1246,2385,2799,0,0,123
Kootenai ,ID,60657,3064,7597,162,0,8492
Kosciusko ,IN,15830,5620,4356,0,0,427
Kossuth ,IA,3044,4120,6733,0,0,1
La Crosse ,WI,16848,20746,28200,100,308,1498
La Paz ,AZ,2314,302,1109,0,0,1010
La Plata ,CO,3871,2175,11484,0,0,2655
La Salle ,TX,557,181,4800,0,0,0
La Salle Parish,LA,8242,672,90,0,0,0
Labette ,KS,4780,4713,1000,0,0,258
Lac qui Parle ,MN,1542,4364,1046,0,0,0
Lackawanna ,PA,11047,18728,96140,2526,0,4710
Laclede ,MO,14411,2090,1488,0,0,677
Lafayette ,AR,2495,373,0,0,0,2
Lafayette ,FL,2953,163,460,0,0,0
Lafayette ,MS,9194,5598,1104,0,308,840
Lafayette ,MO,12733,4727,1378,0,0,1733
Lafayette ,WI,1028,4602,5916,0,0,0
Lafayette Parish,LA,33609,8691,99935,164,308,1850
Lafourche Parish,LA,6152,1589,55450,0,0,140
LaGrange ,IN,17931,2607,677,72,0,0
Lake ,CA,5373,1141,6857,50,0,3080
Lake ,CO,369,126,683,0,0,6
Lake ,FL,53875,20984,26872,1130,4191,7028
Lake ,IL,84501,36967,211380,4610,9894,33822
Lake ,IN,98213,28943,101096,13990,4220,7460
Lake ,MI,848,325,824,0,0,3
Lake ,MN,1060,6037,1393,0,0,3
Lake ,MT,2757,1985,5100,0,0,1449
Lake ,OH,15598,14757,80869,216,0,1715
Lake ,OR,597,183,548,0,0,417
Lake ,SD,1472,3726,2049,0,0,126
Lake ,TN,3246,345,0,0,0,0
Lake and Peninsula Borough,AK,0,0,0,1143,0,5
Lake of the Woods ,MN,359,1863,350,0,0,4
Lamar ,AL,8902,1055,0,0,0,0
Lamar ,GA,9159,955,0,0,0,16
Lamar ,MS,26271,3011,419,0,308,308
Lamar ,TX,21146,3625,2467,0,0,651
Lamb ,TX,7721,1311,3013,0,0,0
Lamoille ,VT,939,1006,2339,0,0,344
LaMoure ,ND,1165,1695,979,0,0,0
Lampasas ,TX,5267,522,346,0,0,6
Lancaster ,NE,38042,46402,42609,245,616,6161
Lancaster ,PA,122957,71573,51292,1600,812,5536
Lancaster ,SC,26632,6741,780,0,0,587
Lancaster ,VA,3146,2531,1352,0,0,190
Lander ,NV,1108,36,883,0,0,908
Lane ,KS,226,1033,317,0,0,0
Lane ,OR,34051,12082,21785,240,308,19303
Langlade ,WI,3976,1699,7164,0,0,174
Lanier ,GA,2758,506,344,0,0,0
Lapeer ,MI,8972,3741,13538,0,0,839
LaPorte ,IN,12556,9016,14838,46,616,1614
Laramie ,WY,10835,6195,13821,315,408,5297
Larimer ,CO,56390,17721,35495,370,400,11909
Larue ,KY,6740,722,370,0,0,0
Las Animas ,CO,1343,258,12196,0,0,32
LaSalle ,IL,9475,12962,30429,0,0,689
Lassen ,CA,3082,323,3389,0,0,1360
Latah ,ID,2522,2233,2408,0,308,3840
Latimer ,OK,7110,254,180,0,0,0
Lauderdale ,AL,40963,8079,1948,0,0,727
Lauderdale ,MS,37626,8339,1828,0,308,1242
Lauderdale ,TN,9791,2156,34,0,0,2
Laurel ,KY,22963,1579,512,0,308,309
Laurens ,GA,21192,4205,739,0,0,423
Laurens ,SC,29530,5201,396,0,0,45
Lavaca ,TX,4387,1483,12798,0,0,546
Lawrence ,AL,15711,1175,87,0,0,2
Lawrence ,AR,8078,1038,85,0,0,1
Lawrence ,IL,3333,2756,610,0,0,0
Lawrence ,IN,11910,5758,1875,0,0,512
Lawrence ,KY,3892,870,86,0,0,1
Lawrence ,MS,7240,947,22,0,308,311
Lawrence ,MO,16970,3087,2474,0,0,1041
Lawrence ,OH,8556,3259,1928,0,0,125
Lawrence ,PA,11739,13990,25113,761,812,1154
Lawrence ,SD,4900,3283,2153,0,0,12
Lawrence ,TN,21055,3005,1200,0,0,563
Le Flore ,OK,25481,1891,303,0,0,842
Le Sueur ,MN,2276,5035,4711,0,0,2
Lea ,NM,21652,2149,10274,0,0,1114
Leake ,MS,10164,1105,900,0,0,102
Leavenworth ,KS,7953,5094,9321,0,308,1869
Lebanon ,PA,13839,29373,12218,228,812,1294
Lee ,AL,30090,15250,2872,0,308,1416
Lee ,AR,2618,394,54,0,0,1
Lee ,FL,88687,28605,100300,970,5587,12684
Lee ,GA,8436,1105,0,0,0,26
Lee ,IL,3528,6335,8379,0,0,3
Lee ,IA,4137,6765,6389,0,0,725
Lee ,KY,1714,248,116,0,0,142
Lee ,MS,35538,9874,2031,0,0,772
Lee ,NC,14945,8093,3402,0,0,1176
Lee ,SC,2421,2261,0,0,0,201
Lee ,TX,7058,766,1764,0,0,1
Lee ,VA,11735,1723,59,0,0,13
Leelanau ,MI,864,2355,5861,0,0,7
Leflore ,MS,10337,3060,620,0,0,500
Lehigh ,PA,20644,64308,68213,2625,3252,19776
Lemhi ,ID,1398,237,394,0,0,1609
Lenawee ,MI,14941,7780,13558,0,0,648
Lenoir ,NC,20198,7361,464,0,308,3175
Leon ,FL,62953,18716,15677,605,3294,10064
Leon ,TX,6365,941,2302,0,0,0
Leslie ,KY,2724,757,0,0,0,0
Letcher ,KY,5210,929,48,0,0,0
Levy ,FL,13870,1703,1695,30,0,891
Lewis ,ID,572,245,373,0,0,737
Lewis ,KY,3018,819,40,0,0,0
Lewis ,MO,4213,1253,440,0,0,0
Lewis ,NY,2693,2155,6443,0,0,115
Lewis ,TN,4315,628,160,0,0,1
Lewis ,WA,11961,3621,8102,0,0,4637
Lewis ,WV,866,3335,1044,0,0,1
Lewis and Clark ,MT,7372,5134,8800,15,0,3202
Lexington ,SC,67801,43909,5739,230,0,4433
Lexington city,VA,2400,1400,831,0,0,384
Liberty ,FL,2322,134,0,0,0,869
Liberty ,GA,11631,1966,1259,0,50,1191
Liberty ,MT,452,142,585,0,0,56
Liberty ,TX,27605,2289,7524,0,0,1306
Licking ,OH,21879,17189,16000,0,0,1167
Limestone ,AL,33582,4899,2462,0,0,1209
Limestone ,TX,8830,2314,865,0,0,254
Lincoln ,AR,3763,451,105,0,0,5
Lincoln ,CO,704,940,444,0,0,210
Lincoln ,GA,2277,876,0,0,0,3
Lincoln ,ID,201,130,165,0,0,1396
Lincoln ,KS,1333,343,204,0,0,2
Lincoln ,KY,13149,1378,99,0,0,5
Lincoln ,ME,1065,3586,2725,0,0,279
Lincoln ,MN,811,2026,1673,0,0,1
Lincoln ,MS,22354,2331,405,0,0,324
Lincoln ,MO,6705,3624,5670,0,0,5
Lincoln ,MT,3750,1065,650,0,0,997
Lincoln ,NE,5574,6521,6983,0,0,1168
Lincoln ,NV,287,117,214,0,0,2324
Lincoln ,NM,3611,1194,2745,0,0,457
Lincoln ,NC,24519,14131,2203,0,0,653
Lincoln ,OK,13686,2280,532,0,0,5
Lincoln ,OR,4303,1464,2524,0,0,1689
Lincoln ,SD,5901,9459,1706,0,0,189
Lincoln ,TN,17059,1929,621,0,0,2009
Lincoln ,WA,1128,2034,1018,0,0,223
Lincoln ,WV,2461,1918,0,0,0,3
Lincoln ,WI,8297,4550,6201,0,0,6
Lincoln ,WY,964,253,596,0,0,9599
Lincoln Parish,LA,14687,3807,1427,0,308,713
Linn ,IA,29184,35522,40930,545,1416,4969
Linn ,KS,1460,828,380,0,0,134
Linn ,MO,4550,2970,994,0,0,119
Linn ,OR,16383,3697,7690,0,0,4348
Lipscomb ,TX,1245,581,320,0,0,0
Litchfield ,CT,4483,20681,50354,175,0,4420
Little River ,AR,6325,728,86,0,0,83
Live Oak ,TX,3380,772,3354,0,0,2
Livingston ,IL,4724,9733,4564,0,0,249
Livingston ,KY,4519,787,101,0,0,1
Livingston ,MI,19679,10563,36976,0,0,1249
Livingston ,MO,6823,2469,1092,0,0,393
Livingston ,NY,4308,6204,14916,0,0,438
Livingston Parish,LA,39791,5423,16154,0,0,1286
Llano ,TX,5270,1748,1408,0,0,3
Logan ,AR,14592,1335,1507,0,0,6
Logan ,CO,2186,2560,3136,0,0,555
Logan ,IL,7947,3650,2282,0,0,6
Logan ,KS,1084,625,577,0,0,0
Logan ,KY,14710,1974,500,0,0,216
Logan ,NE,0,83,351,0,0,0
Logan ,ND,180,798,654,0,0,0
Logan ,OH,5785,6062,2250,0,0,399
Logan ,OK,8676,2658,871,0,0,887
Logan ,WV,5814,1466,400,0,0,335
Long ,GA,2921,103,0,0,0,1
Lonoke ,AR,24578,4039,155,0,308,1294
Lorain ,OH,34366,20221,73443,791,50,1610
Los Alamos ,NM,3950,3845,2870,34,0,1394
Los Angeles ,CA,814611,229056,3542994,63517,69080,451594
Loudon ,TN,25099,3573,1678,0,0,656
Loudoun ,VA,17314,22080,45687,300,27436,34241
Louisa ,IA,880,2513,493,0,0,0
Louisa ,VA,5773,3060,941,0,0,286
Loup ,NE,80,0,0,0,0,0
Love ,OK,6386,624,410,0,0,0
Loving ,TX,6,0,0,0,0,0
Lowndes ,AL,2439,1512,0,0,0,1
Lowndes ,GA,39086,9152,3999,0,762,1941
Lowndes ,MS,26553,5274,1245,0,0,586
Lubbock ,TX,86949,23960,36239,208,5084,11259
Lucas ,IA,1581,1620,607,0,0,160
Lucas ,OH,40272,39991,92283,2680,1908,7578
Luce ,MI,700,664,593,0,0,1
Lumpkin ,GA,3386,2532,1254,0,0,73
Luna ,NM,2539,833,6323,0,0,1093
Lunenburg ,VA,1746,1372,0,0,0,4
Luzerne ,PA,12502,31734,138000,1667,1626,5134
Lycoming ,PA,10967,25272,18500,121,812,1591
Lyman ,SD,233,949,2543,0,0,11
Lynchburg city,VA,48870,13996,3994,100,3436,5089
Lynn ,TX,2965,653,1266,0,0,1
Lyon ,IA,3193,5631,1266,0,0,1
Lyon ,KS,5098,5282,3344,0,308,872
Lyon ,KY,4209,1041,113,0,0,1
Lyon ,MN,3161,5871,7457,0,0,299
Lyon ,NV,3169,339,3724,0,0,3620
Mackinac ,MI,1206,1079,4046,0,0,1
Macomb ,MI,72383,21221,249439,8925,2863,7482
Macon ,AL,2695,1164,100,0,368,679
Macon ,GA,2585,624,210,0,0,222
Macon ,IL,24556,11982,11451,125,3298,4490
Macon ,MO,8625,1826,180,0,0,324
Macon ,NC,16486,4508,1260,0,0,514
Macon ,TN,4942,304,400,0,0,0
Macoupin ,IL,10938,6825,7707,40,0,90
Madera ,CA,15077,2808,56566,0,1109,4817
Madison ,AL,105503,35533,14157,340,924,6587
Madison ,AR,4958,508,150,0,0,258
Madison ,FL,5577,1487,216,0,0,187
Madison ,GA,10681,1469,0,0,0,1
Madison ,ID,162,19,582,0,0,37833
