county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Big Stone ,MN,1304,1794,1408,0,0,0
Billings ,ND,0,42,35,0,0,0
Bingham ,ID,757,1188,1992,0,0,27106
Black Hawk ,IA,14577,24947,20049,60,924,2392
Blackford ,IN,1678,1792,400,0,0,5
Bladen ,NC,10828,3035,222,0,0,14
Blaine ,ID,648,829,2075,0,0,2545
Blaine ,MT,582,613,2580,0,0,173
Blaine ,NE,240,86,0,0,0,0
Blaine ,OK,3979,1800,300,0,0,170
Blair ,PA,16790,19747,27606,368,812,1931
Blanco ,TX,2447,1055,872,0,0,7
Bland ,VA,873,1111,0,0,0,0
Bleckley ,GA,3998,449,0,0,0,574
Bledsoe ,TN,2424,376,0,0,0,2
Blount ,AL,29223,3035,4744,0,0,292
Blount ,TN,53117,12736,3221,0,0,834
Blue Earth ,MN,10650,12508,13093,0,616,1468
Boise ,ID,459,58,80,0,0,873
Bolivar ,MS,10312,2043,928,0,616,687
Bollinger ,MO,2836,802,1225,0,0,1
Bon Homme ,SD,1027,1852,2375,0,0,0
Bond ,IL,5273,1314,2380,0,0,4
Bonner ,ID,4571,1020,1953,0,0,2989
Bonneville ,ID,6886,3022,6534,0,0,59460
Boone ,AR,23485,2437,970,0,0,575
Boone ,IL,4054,5824,10420,0,0,254
Boone ,IN,13919,9955,9333,0,0,340
Boone ,IA,3436,6650,3213,0,0,709
Boone ,KY,34355,4674,19500,3,766,783
Boone ,MO,32187,16273,10684,218,600,3873
Boone ,NE,310,2076,1937,0,0,0
Boone ,WV,2837,1993,132,0,308,310
Borden ,TX,449,0,0,0,0,0
Bosque ,TX,6405,2567,1005,0,0,0
Bossier Parish,LA,49177,7099,5890,0,308,1405
Botetourt ,VA,11982,2757,807,0,0,7
Bottineau ,ND,1150,2554,822,0,0,10
Boulder ,CO,28825,19126,59240,718,400,14359
Boundary ,ID,2142,497,656,100,0,753
Bourbon ,KS,2959,2761,1600,0,0,414
Bourbon ,KY,5932,3298,893,0,0,437
Bowie ,TX,40890,6979,3600,0,0,1442
Bowman ,ND,138,1849,1610,0,0,0
Box Butte ,NE,1156,1859,2301,0,0,252
Box Elder ,UT,807,389,2008,0,0,41921
Boyd ,KY,21279,5660,1950,0,0,3
Boyd ,NE,735,426,543,0,0,0
Boyle ,KY,17762,2992,1439,0,308,323
Bracken ,KY,2890,834,755,0,0,0
Bradford ,FL,9761,2270,142,0,0,567
Bradford ,PA,5219,10817,6600,0,0,406
Bradley ,AR,5785,972,389,0,0,0
Bradley ,TN,51000,6000,1863,0,0,510
Branch ,MI,5132,2558,5985,0,500,1037
Brantley ,GA,6016,239,0,0,0,1
Braxton ,WV,580,3380,143,0,0,277
Brazoria ,TX,98539,17854,50863,0,5084,9752
Brazos ,TX,38472,12430,21925,92,2541,5604
Breathitt ,KY,1563,448,35,0,0,3
Breckinridge ,KY,6220,1695,2622,0,0,1
Bremer ,IA,3080,11274,2558,0,0,140
Brevard ,FL,75893,30877,64831,1267,4191,11113
Brewster ,TX,1785,314,1900,15,0,269
Briscoe ,TX,1117,276,155,0,0,2
Bristol ,MA,18765,18246,286113,1565,924,7807
Bristol ,RI,198,3471,37476,0,0,481
Bristol Bay Borough,AK,6,0,60,226,0,1
Bristol city,VA,9754,3708,1679,40,0,1119
Broadwater ,MT,468,422,390,0,0,403
Bronx ,NY,59530,28611,353098,2350,38506,62139
Brooke ,WV,2918,2448,2940,0,0,237
Brookings ,SD,4018,7444,4844,0,308,633
Brooks ,GA,4929,1015,0,0,0,4
Brooks ,TX,679,182,5091,0,0,0
