county,state,lat,long,TotalPop,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,percentage20_Donald_Trump,percentage20_Joe_Biden,cases,deaths,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Fillmore,NE,40.52458567,-97.59646937,5603,3134,2359,693,0.753,0.221,128,2,2800,2803,3.9,94,0.6,0.4,0.2,0,56750,30874,9.9,34.2,15.3,20.3,15.4,14.8,81.2,7.2,0.1,5.2,1.6,4.8,16.3,2893,72.5,16.5,10.6,0.4,2.5
Finney,KS,38.04340344,-100.7381938,37097,11466,7079,4155,0.617,0.362,3110,20,18913,18184,49,42.6,2.1,0.4,3.9,0,51703,23074,16.2,22.8,18.4,20.6,15.2,23,80.7,13.1,0.6,1.6,1.1,2.8,14.3,18653,81.4,13.3,5.1,0.3,4.7
Fisher,TX,32.74281316,-100.4019302,3875,1826,1448,352,0.793,0.193,117,4,1867,2008,29.8,66.5,2.9,0,0.5,0.1,45294,27750,17.4,32.8,16.6,19.8,17.2,13.6,81.3,11,0,3.3,0.9,3.5,21.3,1728,68.3,18.2,13.1,0.4,5.6
Flagler,FL,29.45933576,-81.31508595,105015,71846,43039,28148,0.599,0.392,2181,39,50436,54579,10,74.7,10,0.3,2.5,0,51049,25741,13.3,31.6,19.3,31.9,9.4,7.8,83.5,6.6,0.3,0.3,1.7,7.7,25.7,39278,81.5,11.8,6.6,0.1,6.5
Flathead,MT,48.29575866,-114.0520569,96147,60132,38233,20238,0.636,0.337,3615,27,47965,48182,2.6,93.2,0.3,1.3,0.5,0,51410,28379,13.6,34,18.3,26.1,12,9.6,81.4,6.9,0.8,3.3,1.9,5.8,19.1,46250,79.4,13.4,6.9,0.3,4
Fleming,KY,38.36758311,-83.69657514,14515,7066,5534,1474,0.783,0.209,200,0,7155,7360,1.2,96.1,1.7,0,0.1,0,41095,23351,19.5,28.2,12,23.1,18,18.7,80.6,13.7,0.3,1.8,0.7,2.9,29.4,5824,73.8,17.1,9.1,0,9.5
Florence,SC,34.02361754,-79.70189312,138537,64510,32615,31153,0.506,0.483,5720,203,64593,73944,2.5,52.6,42.2,0.2,1.3,0.1,43310,23797,19.6,34.7,19,24.2,7.8,14.4,83.8,9.9,0.3,1,1.5,3.4,23.1,59365,78.5,17.2,4.3,0.1,9.5
Florence,WI,45.84963535,-88.39804137,4354,2940,2133,781,0.726,0.266,223,8,2260,2094,0.9,98.5,0.3,0,0,0,47827,28211,8.4,27.9,19,22.4,12.3,18.4,90.6,3.1,0.4,0.5,1.3,4.1,19.7,1949,77.7,15.1,6.9,0.4,6.4
Floyd,GA,34.26268279,-85.21577392,96471,38588,27120,10972,0.703,0.284,4114,61,46770,49701,10.6,71.4,14.4,0.1,1.5,0,46096,23929,18.1,29,20.3,22,10.4,18.3,82.3,8.1,0.5,2.7,1.6,4.8,22.3,41473,82.1,13.3,4.5,0.1,7.5
Floyd,IA,43.0600053,-92.78940097,15904,8026,4730,3168,0.589,0.395,485,11,7830,8074,2.5,92.8,1.9,0.4,1.5,0.1,48607,28323,15.6,34.1,13.7,24.4,9.8,17.9,78.2,7.8,0.4,3.9,1.7,8,19,8223,79.5,10.9,9.7,0,2.7
Floyd,IN,38.32117957,-85.90385377,76481,41742,23385,17507,0.56,0.419,2032,69,37092,39389,3.1,88.3,5.2,0.4,1.1,0,59451,30663,10.8,36.7,14.5,25.1,8.1,15.6,86.1,7.8,0.9,1,0.3,3.9,22.6,38137,85.9,9.9,4.1,0.1,5.1
Floyd,KY,37.56213922,-82.74750924,37447,16381,12211,3855,0.745,0.235,475,4,18314,19133,0.7,97.3,0.9,0.1,0.3,0,31196,18366,30.7,29.5,19.1,27.3,11,13.2,88.5,7.8,0.2,1,0.5,2.1,23,11130,70.4,22.4,7.1,0,11.6
Floyd,TX,34.07227468,-101.3031546,5953,2035,1581,437,0.777,0.215,128,9,2911,3042,57.8,37.9,2.5,0.2,0.3,0,48767,24347,18.2,30,17.1,15.6,22.9,14.4,81,8.9,0.8,1.6,0.3,7.4,14.9,2444,75.3,15.1,9.6,0,6.4
Floyd,VA,36.9302126,-80.36738849,15594,9376,6225,3004,0.664,0.32,257,15,7842,7752,2.8,93.7,2.5,0.2,0,0,48396,25446,12,30.7,15.6,19.1,15.8,18.9,77.2,12.7,0.6,1.5,1.5,6.5,31.6,7210,76.3,14.6,8.6,0.5,5.5
Fluvanna,VA,37.84157909,-78.27715475,26109,15795,8155,7414,0.516,0.469,436,9,11928,14181,3.3,78.7,13.5,0.1,0.7,0,67964,31952,6.1,45,14.3,22.6,10.2,7.8,76.9,15.4,0.2,0.7,0.6,6.2,33.4,12127,72.4,21.3,6.1,0.2,4.8
Foard,TX,33.97308618,-99.7767797,1414,551,445,99,0.808,0.18,22,1,749,665,21.6,76.2,2.2,0,0,0,50000,26034,5.7,22.2,22.7,23.5,15.1,16.6,84.3,10.9,0,2.4,0,2.4,20.8,591,60.9,27.1,11.2,0.8,11.3
Fond du Lac,WI,43.75354908,-88.48885325,102082,57251,35754,20588,0.625,0.36,5111,23,49962,52120,5,90.3,1.2,0.5,1.4,0,57798,29431,8.5,30.2,16.6,21.1,11,21.1,82.9,8.1,0.3,3.4,1.2,4,20.3,53195,84.1,10.8,4.9,0.2,4
Ford,IL,40.59706922,-88.22350769,13470,6809,4956,1691,0.728,0.248,222,16,6647,6823,3,94.3,0.9,0.4,0.5,0,50851,26611,15.7,31.1,17.2,19.8,13.6,18.4,79.3,10.1,0.1,4.5,1.1,4.9,22.3,6177,78.2,11,10.7,0.2,6.6
Ford,KS,37.69200114,-99.88825298,34658,8850,5763,2926,0.651,0.331,3302,13,17933,16725,53.9,40.8,2.3,0.4,1.4,0,49890,22053,16.2,24.3,14.4,16.1,15.2,30,77.2,17,0.2,1.1,2.3,2.3,14.4,16655,81.5,10.8,7.3,0.4,6.3
Forest,PA,41.51095103,-79.23229292,7388,2621,1864,715,0.711,0.273,19,1,5972,1416,7,59.7,30.8,0.2,0.7,0,37106,14989,14.1,24.5,22.6,24.8,11.1,17,80.2,5.2,0.1,9.6,1.5,3.3,26.9,751,66.4,22.4,10.7,0.5,5.4
Forest,WI,45.66678019,-88.77084892,9035,5052,3287,1722,0.651,0.341,505,11,4574,4461,2.2,79.7,0.9,14.3,0.4,0.1,43356,23936,17.5,27.8,20.1,20.6,13.8,17.7,77.3,12,0.1,3.9,1.1,5.6,20.3,3658,66.5,24.5,8.8,0.1,8.3
Forrest,MS,31.18961454,-89.25832496,75835,26540,15326,10603,0.577,0.4,3166,80,36106,39729,3,57.1,36.8,0.2,0.9,0,39555,20783,26.3,34,17.2,26.2,9.3,13.4,79.6,8.5,0.3,2.1,8.3,1.2,21.6,32089,77.9,18.8,3.2,0,11.9
Forsyth,GA,34.22604035,-84.1231513,211300,129305,85122,42203,0.658,0.326,4906,54,104886,106414,9.5,74.9,2.9,0.2,10.5,0,96445,39896,6.5,51.1,11.3,24.8,6.1,6.7,77.6,9.1,0.5,0.7,1.3,10.9,32.7,103649,84.9,9.1,5.9,0.1,4.2
Forsyth,NC,36.12859861,-80.25459052,368362,198469,84176,111769,0.424,0.563,9221,121,174966,193396,12.6,57.3,25.7,0.2,2.2,0.1,48369,28640,18.7,39.5,17.8,23,7,12.6,83.9,7.4,1,1.6,1.1,5,21.4,167780,83.7,11,5.2,0.1,6.9
Fort Bend,TX,29.52704478,-95.77219463,711421,357833,157595,195191,0.44,0.545,17735,310,349697,361724,24.2,34.4,20.2,0.2,19.2,0,93645,38382,8.1,50.4,12,23.1,6.4,8.1,82,9.7,1.6,0.5,1.3,4.9,33,339159,82.3,11.8,5.7,0.2,5.3
Foster,ND,47.4571084,-98.88279923,3318,1778,1362,373,0.766,0.21,205,2,1645,1673,1.3,95.9,0.2,0.8,0.2,0,59500,32665,7.1,37.4,13.6,21.7,12.7,14.8,81.1,6.9,0,5.2,1.1,5.7,12.9,1769,66.2,14.5,17.9,1.4,1.1
Fountain,IN,40.12361933,-87.24217689,16620,7978,6151,1627,0.771,0.204,402,3,8272,8348,2.4,95.6,0.4,0.2,0.1,0,46669,25383,12.6,26.4,13.5,17.5,12,30.6,82.5,9.6,0.5,2.9,1.1,3.3,25.4,7335,82.3,10.8,6.6,0.3,6.3
Franklin,AL,34.44235334,-87.84289505,31507,12564,10364,2085,0.825,0.166,2185,32,15818,15689,16.3,77.7,4.7,0.2,0.4,0.1,39501,19314,23,24.4,13.9,21.1,11.9,28.7,84.9,10.1,0.2,0.2,2.7,1.9,28.4,12534,78.5,15.6,6,0,8.2
Franklin,AR,35.51202821,-93.89299569,17803,7125,5675,1299,0.796,0.182,575,2,8674,9129,2.9,92.4,1,1.6,0.5,0.1,39472,19988,21.9,27.5,15.8,23.8,11.5,21.4,81.3,9.7,0.9,2.4,0.6,5.1,26.8,6598,74.1,20,5.6,0.3,6.6
Franklin,FL,29.83791238,-84.82731662,11675,6857,4675,2118,0.682,0.309,784,4,6727,4948,5.2,78.2,13.6,0.1,0.4,0.7,41267,23524,20.1,29.8,23.6,17.9,19.5,9.2,79.8,8.8,0.5,2.6,3.4,4.9,19.3,4305,63.8,23,13.2,0,7.9
Franklin,GA,34.37525597,-83.23159927,22328,10786,9069,1593,0.841,0.148,962,18,10852,11476,4.4,83.9,9.8,0.1,0.7,0,39246,19663,25.4,29.8,15.6,18.3,14.4,21.9,84.8,7.1,0.4,2.2,1.2,4.3,25.8,8353,77.4,14.9,7.5,0.2,6.3
Franklin,IA,42.73270384,-93.26256925,10326,5119,3422,1626,0.668,0.318,412,18,5235,5091,12.1,85.9,1.4,0,0.1,0,48172,25248,15.6,31.1,16.1,17.3,15.4,20.1,77.9,9.7,0.7,5.4,0.6,5.8,16.8,4801,69.7,15.7,14.5,0.2,4.6
Franklin,ID,42.18332217,-111.8149666,13120,6664,5845,657,0.877,0.099,384,2,6686,6434,6.7,91.3,0.3,0.6,0,0.1,51583,20454,12.2,27.1,12.2,23.7,16.7,20.3,77.6,12.7,0.6,3.2,1,4.9,25,5679,85.1,10.5,4.1,0.2,2.4
Franklin,IL,37.99189086,-88.92567818,39302,18488,13514,4690,0.731,0.254,1110,10,19302,20000,1.6,96,0.6,0.2,0.5,0.1,39454,22346,19.9,25.8,20.9,22.2,13.5,17.7,82.9,11.1,0.3,1.1,1.6,2.9,24.8,15466,77.9,15.7,6.2,0.3,8.9
Franklin,IN,39.4142482,-85.06062647,22835,12018,9691,2137,0.806,0.178,406,26,11415,11420,1.1,98.4,0.2,0,0.3,0,55588,26267,9.9,31.6,15.6,18.8,12.9,21.1,88.9,5.7,0.1,0.6,0.7,4,30.1,11012,82.5,10,7.4,0.1,5.3
Franklin,KS,38.56443815,-95.28644341,25599,12247,8326,3623,0.68,0.296,576,5,12505,13094,4.1,91,1.5,0.3,0.3,0,53167,25701,12.5,29.9,17.1,21.7,12.5,18.7,82,8.4,0.6,2.6,2,4.3,23.7,12784,78.8,14.6,6.4,0.2,5.4
Franklin,KY,38.2379395,-84.87962551,49969,26059,12900,12650,0.495,0.485,906,14,24502,25467,3,81.9,9.8,0.3,1.8,0,53539,28001,13.1,37.4,14.8,25.4,8.2,14.2,84.2,10.7,0.3,1.9,0.3,2.6,19,23685,63.8,31,5,0.1,7.2
Franklin,MA,42.58119713,-72.58602547,70926,19667,7073,12053,0.36,0.613,483,73,34663,36263,3.8,91.2,1.2,0.2,1.5,0.1,57307,33010,10.9,41.5,18.6,20.2,8.9,10.7,76.8,9.5,1.8,4.2,1.1,6.6,24.2,36953,71.9,17.6,10.2,0.3,5.8
Franklin,ME,44.97330019,-70.44381045,30177,861,459,381,0.533,0.443,86,1,14739,15438,1.3,95.8,0.3,0.4,0.5,0.1,45541,24162,12.4,32,20.4,22.3,12.7,12.5,76,10.4,0.4,6.1,1.2,6,23.7,14426,74.3,15.5,10,0.2,6.1
Franklin,MO,38.41127108,-91.07522826,102413,53750,38034,14561,0.708,0.271,2941,48,51044,51369,1.7,95.3,0.8,0.2,0.6,0,53849,27209,10.6,30.2,15.5,22.7,12.3,19.3,85.3,8.9,0.6,1.7,0.7,2.9,28.3,49855,84.9,9.3,5.6,0.2,4.9
Franklin,MS,31.47786634,-90.89672989,7772,4431,2894,1476,0.653,0.333,258,3,3752,4020,0.8,63.2,36,0,0,0,42388,24864,17.9,28.2,13.1,19.1,22.6,16.9,85.1,8.1,0,2,2.9,1.9,31.4,2883,72.4,17.9,9.8,0,7.4
Franklin,NC,36.081519,-78.28708884,63866,37079,20748,15776,0.56,0.425,1497,32,31817,32049,8.1,63.5,25.4,0.4,0.5,0,48344,23862,16.4,31.5,16.7,24.1,14.2,13.5,82.3,9.3,0.3,1.8,1,5.2,31.7,28158,77.3,16,6.3,0.4,7.3
Franklin,NE,40.17636348,-98.95299073,3019,1721,1434,276,0.833,0.16,94,0,1514,1505,2.1,96.2,0.5,0,0.2,0,49453,28635,13.3,34.8,15,18.8,15,16.4,82.5,6.2,0.3,4.5,1,5.4,18.2,1496,67.3,19.7,12.8,0.3,2.6
Franklin,NY,44.59040891,-74.29926032,51054,15397,8530,6586,0.554,0.428,87,0,27928,23126,3.4,81.7,5.8,6.9,0.4,0.2,50733,24294,19.4,31.6,27.3,19.5,10.1,11.5,76.1,11.3,0.8,4.3,1.8,5.8,20.9,19960,61.1,29.2,9.3,0.4,8.2
Franklin,OH,39.96995815,-83.01115755,1253507,604058,203154,391584,0.336,0.648,34517,643,611086,642421,5.2,64.5,21.7,0.1,4.8,0,56319,31199,16.7,42.4,16.9,24.1,5.1,11.5,81.3,7.8,2.4,2.5,1.5,4.4,21.8,650022,81.7,14,4.3,0.1,5.7
Franklin,PA,39.92956518,-77.72157791,153003,80896,57308,22468,0.708,0.278,2329,55,75535,77468,5.3,88.6,3.8,0.2,1,0,58267,28985,10.4,30.8,17.1,23.1,10.4,18.5,83.8,9.1,0.2,2.3,0.8,3.7,24.4,72456,81.2,12.7,5.9,0.2,5.7
Franklin,TN,35.15634626,-86.09201039,41397,19146,13977,4863,0.73,0.254,1357,25,20224,21173,3.2,88.8,4.9,0.2,0.6,0,46882,25637,15,29.5,16,21.7,11,21.8,82.1,10.9,0,3.7,0.8,2.4,22.4,17632,77.9,16.4,5.6,0.1,6.9
Franklin,TX,33.17653242,-95.21917243,10639,5000,4153,803,0.831,0.161,223,7,5409,5230,13.9,79.6,4.5,0.5,0,0.1,43967,23642,15,24.3,14.6,26.8,16.9,17.4,82.5,8.9,0.4,1.5,1.2,5.5,23.9,4397,74,11.1,14.1,0.8,7.6
Franklin,VA,36.99536167,-79.88023649,56277,29630,20895,8381,0.705,0.283,945,6,27631,28646,2.7,87.1,7.9,0.2,0.4,0,51208,27282,14.8,32.8,15.3,24.1,11.5,16.2,79.4,10.1,0.5,2.1,1.5,6.4,30.2,25460,80.6,13.1,6.2,0.1,5.4
Franklin,VT,44.85627605,-72.91249563,48816,754,407,318,0.54,0.422,143,7,24251,24565,1.4,94.2,0.6,0.5,0.3,0,62214,30624,8,36.2,16.1,21.9,11.7,14.2,81.2,9.3,0.5,3.2,0.8,4.9,25.3,25865,74.8,17.5,7.6,0.1,4.4
Franklin,WA,46.53351425,-118.9018212,89124,31833,17849,13148,0.561,0.413,4948,68,46383,42741,52.5,41.1,2,0.4,2.1,0.1,60275,22125,15.9,25.6,17.6,18,22.1,16.7,81.2,13.3,0.6,0.9,0.7,3.4,21.5,38844,81.5,13.5,4.8,0.1,5.8
Franklin,LA,32.13675181,-91.67589857,20388,9720,6970,2658,0.717,0.273,1359,47,9991,10397,0.2,65.3,33.4,0,0,0,34722,18786,28.8,25.5,15.2,28.5,17.9,12.9,86.7,5.6,0.2,1.9,2.6,3,21.8,7285,75.8,14.1,10,0.1,8.8
Frederick,MD,39.47296601,-77.39999394,246105,139768,62057,74622,0.444,0.534,4909,139,121305,124800,8.8,74.8,8.8,0.2,4.5,0.1,88502,39566,7.2,46.1,15.5,22.3,8.8,7.4,78.1,9.6,2.9,2.1,1.2,6.1,35,130387,73.9,20.6,5.3,0.2,5.1
Frederick,VA,39.20172582,-78.25974949,83784,48736,30755,17200,0.631,0.353,1215,13,41634,42150,7.8,84.5,4,0.3,1.4,0.1,71037,32554,5.6,37.3,13.3,24.2,11.5,13.7,83,10.5,0.2,0.9,0.8,4.6,31.1,42721,78.1,16.5,5.3,0,4.1
Freeborn,MN,43.67385583,-93.34884422,30619,16791,9578,6889,0.57,0.41,758,5,15312,15307,9.5,86.3,1.2,0.1,1.8,0,51174,27603,11.8,27.5,19.5,19.9,11.8,21.2,81.5,10.5,0.7,2.4,2.3,2.5,18.7,15278,84,9,6.8,0.1,4.1
Freestone,TX,31.70422788,-96.15072516,19646,8678,6966,1629,0.803,0.188,463,4,10224,9422,14.7,67.5,16.1,0.2,0.4,0,45890,24060,17.3,26.4,24.9,19.3,14.1,15.3,82.9,12,0.1,1.6,0.7,2.7,25.7,7422,73.3,19.6,7.1,0,4.2
Fremont,CO,38.47362326,-105.4399667,46601,25058,17231,7170,0.688,0.286,839,2,27073,19528,13,79.5,4.5,1,0.7,0.1,44712,20919,15.8,30.8,25.7,23.7,12.7,7.2,81.9,8.8,0.3,2.3,2.5,4.3,22.7,14406,64.7,27.6,7.7,0.1,6.2
Fremont,IA,40.7454272,-95.60129045,6985,3855,2711,1078,0.703,0.28,224,2,3453,3532,2.5,95.3,0.5,0.5,0,0,54430,29813,11,34.8,17.2,17.9,11.7,18.3,82.8,8.3,0,3.4,1.8,3.6,24.5,3363,74,17,9,0.1,3.1
Fremont,ID,44.22800938,-111.4809943,12889,6719,5548,998,0.826,0.149,504,4,6685,6204,12.5,85.1,0.2,0.3,0.1,0.2,51806,21611,11.9,28.2,15,22.7,19,15.1,78.4,10.7,1,2.5,1.7,5.7,25.9,5182,71.6,17.6,10.3,0.5,5.9
Fremont,WY,43.04183996,-108.6296893,40354,18111,12007,5519,0.663,0.305,1505,15,20206,20148,6.8,70.1,0.5,19.6,0.1,0.1,55013,27220,13.7,33.5,20.7,19.4,14.8,11.5,75.2,10.5,0.5,4,3.1,6.6,17.9,18674,61.3,28.9,9.2,0.6,6
Fresno,CA,36.75733899,-119.6466953,971616,356004,160689,188224,0.451,0.529,31558,443,484667,486949,52.4,30.2,4.7,0.4,9.9,0.1,48730,22234,25.4,29.1,19.6,23,14.8,13.5,78.1,12.2,1.2,1.6,2.5,4.3,22.4,392003,74.8,18.4,6.6,0.2,10.4
Frio,TX,28.86751206,-99.10804207,19110,5264,2812,2421,0.534,0.46,1020,9,11363,7747,78.5,16.4,3.6,0,0.6,0,37382,16833,20.3,19.2,22.3,17.5,20.5,20.5,84.6,11,0.2,1.4,0.6,2.3,15.8,6859,76.6,16.8,6.6,0,7.3
Frontier,NE,40.52993007,-100.3924658,2624,1440,1229,189,0.853,0.131,45,0,1324,1300,1.4,96.4,0,0.6,0.1,0,52090,27900,10.9,35.4,15.9,21.5,18,9.2,76.5,7.9,0.4,5.3,1,8.9,20.3,1253,64.1,20.8,14.1,1,3.2
Fulton,AR,36.38177105,-91.81729127,12092,5098,3944,1031,0.774,0.202,348,10,5947,6145,1.3,95.6,0.3,0.9,0,0.1,36051,19674,23,29.7,18.7,21.7,14.4,15.6,85.2,8.3,1.3,0.7,1.2,3.3,23.3,4132,73.1,17.6,9,0.4,6.9
Fulton,GA,33.79216944,-84.46319413,1010420,524532,137200,381057,0.262,0.726,31753,628,489797,520623,7.4,39.9,43.6,0.2,6.7,0,61336,41041,16,50.1,14.6,24,3.9,7.4,72.1,7.7,7.5,2.6,1.9,8.2,28.1,500783,83.4,11.2,5.3,0.1,7.7
Fulton,IL,40.47289135,-90.20862357,35733,16517,9798,6371,0.593,0.386,657,2,18673,17060,2.9,92,3.8,0.1,0.2,0,48599,24269,15.5,30.6,20.8,20.2,10.7,17.8,84.8,8.8,0.2,2.6,1,2.6,24.7,15027,76.5,16.4,7.2,0,7.7
Fulton,IN,41.0469907,-86.26252745,20296,9110,6667,2274,0.732,0.25,440,11,9992,10304,5,92.3,1,0.5,0.3,0.1,47108,23557,13.3,23.1,15.2,19.6,11.3,30.8,82,10.2,0.1,1.1,2,4.6,22.8,9575,81.2,11.2,7.1,0.6,3.8
Fulton,KY,36.55238827,-89.20140068,6259,2421,1605,791,0.663,0.327,239,3,3094,3165,0.7,71.2,24.4,0.1,0.2,0,28274,18111,25.3,29.9,25.7,17.8,8.1,18.5,77.1,10.6,0.9,1.7,3.2,6.5,21.9,2287,72.1,18.1,9.3,0.5,7.6
Fulton,NY,43.11363907,-74.41798804,53955,20180,13989,5804,0.693,0.288,367,24,26899,27056,2.8,93.2,1.8,0.2,0.7,0,48033,26298,16,30.7,20.5,23.3,9.5,16.1,83.2,9.4,0.6,2.7,2.1,2.1,25,24239,79.4,16.1,4.4,0.1,7.6
Fulton,OH,41.60213491,-84.12571393,42296,22299,15396,6545,0.69,0.294,647,16,20912,21384,8.4,89.4,0.3,0.2,0.4,0.1,57774,27922,10.6,27.8,15.9,21.3,12.3,22.7,88,6.6,0.1,1.9,0.8,2.6,24.1,20729,84.1,10.3,5.3,0.2,5.9
Fulton,PA,39.92913544,-78.11163677,14631,7978,6824,1085,0.855,0.136,95,4,7376,7255,1.2,96.3,1.5,0.3,0.1,0,50007,25273,11.5,25.7,16.9,20,14.2,23.2,77.9,15,0.1,2.6,0.5,3.9,32.3,6609,79.6,13.4,6.6,0.4,6.5
Furnas,NE,40.17642064,-99.91247454,4814,2601,2163,399,0.832,0.153,112,3,2356,2458,3.7,94.2,0.3,0,0.1,0,43400,24522,13.5,37.3,17.1,17.6,14.1,13.8,75,9.7,0,4.3,1.5,9.5,13.2,2394,70.7,15.3,13.1,0.9,2.5
Gadsden,FL,30.57796289,-84.61915825,46113,23800,7465,16152,0.314,0.679,3072,56,21869,24244,10,32.6,55.3,0.1,0.5,0.1,39830,19252,24.4,31.2,20.6,25.5,12.6,10.2,84.5,9.8,0.1,0.9,2.4,2.3,30.2,16338,61.6,34.8,3.5,0.1,8.5
Gage,NE,40.26186809,-96.68946704,21632,11068,7445,3385,0.673,0.306,600,5,10816,10816,2.3,95,0.6,0.4,0.6,0.2,52223,27424,9.1,33.3,15.4,20.9,10.5,19.8,78.9,12.2,0.1,3.1,0.9,4.8,19.8,11118,74.1,16.1,9.7,0.1,3.2
Gaines,TX,32.74055318,-102.6353295,19889,5960,5323,572,0.893,0.096,581,12,10082,9807,40.6,56.3,2.3,0.1,0.5,0,58167,22656,11,28.6,11.8,18.6,24.9,16.1,74.9,18.8,0,4.1,0.1,2.1,19,8134,76,12.5,11,0.4,4.5
Gallatin,IL,37.76430935,-88.22953869,5226,2673,2019,621,0.755,0.232,117,2,2475,2751,1.1,95.8,0.3,0.5,0.3,0,42450,24538,16.6,33.8,17.6,19,12.4,17.2,87.7,8,0.2,0.3,2.2,1.5,27.2,2133,75.6,16,8.2,0.2,7.8
Gallatin,KY,38.75398691,-84.8558382,8652,3849,2955,822,0.768,0.214,131,8,4420,4232,5.2,91.3,1.5,0,0.1,0,50250,22508,13.4,20.2,18.3,27.1,13,21.4,79.8,13.5,0.2,1.9,0.6,4,29.4,3728,77.8,15.9,6,0.3,6
Gallatin,MT,45.54486106,-111.1692571,100733,71363,31639,36964,0.443,0.518,3550,8,52057,48676,3.3,92.3,0.3,0.9,1.3,0,59397,33181,13,40.3,18.2,21.5,11.7,8.4,73.6,9.3,0.4,5.9,3.7,7.1,17.7,56751,75.5,15.6,8.4,0.4,4.3
Gallia,OH,38.82708533,-82.31647569,30203,13358,10289,2911,0.77,0.218,334,13,14814,15389,1.3,93.6,2.8,0.5,0.7,0.1,42002,22293,20.9,27.8,19.8,22.3,11.2,18.9,85.9,5.3,0.2,1.9,1.5,5.2,29,11930,80.9,13,5.8,0.4,5.8
Galveston,TX,29.40167322,-94.90469073,321184,153843,93306,58247,0.607,0.379,12703,169,158564,162620,23.9,58,12.5,0.3,3.3,0,65702,33870,13.9,41.1,17.6,22,9.4,9.9,80.9,10.5,0.9,2,1.9,3.7,28,149076,77,16.7,6.1,0.1,6.5
Garden,NE,41.61703149,-102.3313973,1913,1195,1016,161,0.85,0.135,48,0,960,953,3.9,94.2,0.2,0.2,0.9,0,48125,35602,11.7,42.6,13.6,20.5,13.5,9.9,71.8,8.7,0.1,4.9,0.8,13.7,21.4,921,53.2,26.5,20.3,0,1.4
Garfield,CO,39.59921777,-107.902708,57945,30216,14404,15070,0.477,0.499,1239,5,29334,28611,28.1,68.6,0.4,0.5,0.8,0,66503,31483,9.6,32.1,19.6,21,17.3,10,73.1,10.9,3.8,2.7,2.7,6.8,31.6,30411,78.2,13.1,8.6,0.1,5.4
Garfield,MT,47.27545948,-107.0002351,1086,813,764,41,0.94,0.05,30,0,560,526,0.2,99.8,0,0,0,0,47188,29896,5.1,53.3,8.9,16.8,16.1,4.9,66.7,3.8,0.5,8,2.6,18.3,12,576,41.7,18.2,36.8,3.3,0
Garfield,NE,41.91428955,-98.99111827,1958,1067,925,133,0.867,0.125,35,0,970,988,2.1,96.6,0.2,0,0.3,0,46509,25856,7.2,34.6,16.6,20.8,14.5,13.5,72.6,5.1,0.5,8.7,2.1,11,11.5,1006,62.5,17.2,19.6,0.7,1.9
Garfield,OK,36.3791334,-97.78265517,62421,22430,16970,4919,0.757,0.219,2543,28,30927,31494,11.6,75.8,3,1.8,0.8,2.8,50724,25787,13.6,28.7,17.1,20.9,15.2,18,84.5,9.3,0.3,1.1,2,2.8,16.6,27796,80.7,12.7,6.4,0.1,5.3
Garfield,UT,37.85447192,-111.4418764,5020,2722,2149,513,0.789,0.188,0,0,2633,2387,5.6,89.5,0,2.7,0.2,0.5,51700,23228,13.1,26.4,26.8,25.1,15.8,6,73.4,11,0,5.7,2.7,7.3,14,2212,69.3,23.3,7.4,0,4.6
Garfield,WA,46.43197502,-117.5454032,2226,1470,1062,362,0.722,0.246,26,0,1118,1108,2.4,91.8,0,0.2,1.8,0,51399,24781,11.7,33.7,19.9,23.7,9.5,13.2,74.5,15.9,0,2.8,0.7,6.2,20,934,51,32.9,16.2,0,7.2
Garland,AR,34.57692074,-93.14921604,97994,44193,29065,14043,0.658,0.318,2645,70,47269,50725,5.4,82.6,8.1,0.7,0.5,0,41672,25690,19.1,31.8,20.4,25.6,11.2,11,79.8,12,0.4,1.7,1.2,4.8,21.9,39800,79.2,13.3,7.2,0.2,9
Garrard,KY,37.6388668,-84.53289319,17226,8703,6754,1830,0.776,0.21,370,4,8442,8784,2.2,94.3,0.9,0.2,0.1,0,47906,24874,18.2,29.9,17.8,20.6,16.2,15.4,80.3,11.9,0.1,0.4,1.7,5.7,34,7339,76.2,13.7,10,0.1,8.9
Garrett,MD,39.52786077,-79.27355126,29516,15045,11654,3098,0.775,0.206,150,1,14618,14898,1.1,96.6,0.6,0.1,0.4,0,48174,26303,11.4,33.8,17.5,18.8,16.5,13.4,79.5,9.9,0.6,3.7,0.6,5.7,24.2,13937,74.6,16,9.3,0.2,4.8
Garvin,OK,34.70418038,-97.30811132,27751,10922,8878,1865,0.813,0.171,774,6,13765,13986,8.2,76.4,2.3,5.4,0.5,0,42567,22433,17.1,29.4,14,23.5,14.8,18.3,90.7,4.6,0.2,0.8,1.2,2.5,21.5,10697,76.8,13.9,9,0.3,3.5
Garza,TX,33.17969345,-101.2984114,6739,1651,1411,231,0.855,0.14,123,8,4369,2370,54,40.5,4.5,0.1,0.6,0,53832,20635,13.5,30.3,22.3,15.5,15.2,16.7,71.5,23.8,0,2,2.6,0.1,17.4,2445,72.2,16.7,11.1,0,2
