county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Lapeer ,MI,4245,10263,10738,9490,9848,13003,14478,9800,4653,1510
LaPorte ,IN,6547,13044,12987,14591,13344,14415,15387,11822,5624,2246
Laramie ,WY,6239,13081,12482,14699,12192,11528,12891,9499,4457,1908
Larimer ,CO,17762,39145,61231,51608,43603,38392,43839,33805,14967,6166
Larue ,KY,804,1836,1694,1705,1762,1898,2084,1427,800,297
Las Animas ,CO,682,1553,1702,1618,1529,1620,2270,2123,1004,402
LaSalle ,IL,6187,13012,12994,13224,12878,13979,16439,11328,6337,3052
LaSalle Parish,LA,911,1920,1836,2117,1992,1767,1850,1453,791,280
Lassen ,CA,1533,2893,3879,5705,4495,3944,3686,2890,1207,570
Latah ,ID,2189,4138,10768,5745,4083,3671,4134,3304,1490,612
Latimer ,OK,601,1190,1409,1131,1047,1190,1393,1157,762,351
Lauderdale ,AL,4734,10161,13684,11007,9927,11657,12654,10595,5873,2095
Lauderdale ,MS,4767,9854,9600,10041,8855,9339,9789,7439,4004,1629
Lauderdale ,TN,1494,3255,3392,3473,3343,3418,3373,2467,1237,373
Laurel ,KY,3739,7827,7164,7817,7774,8325,8102,6041,2984,896
Laurens ,GA,3169,6544,5754,5836,5618,5984,6061,4740,2580,1039
Laurens ,SC,3816,8334,8424,8226,7373,8905,9506,7255,3651,1504
Lavaca ,TX,1196,2740,2298,2049,2070,2285,2789,2540,1415,728
Lawrence ,AL,1810,4063,3692,3965,3699,4705,4872,3666,1927,558
Lawrence ,AR,960,2020,2172,1917,1836,2067,2220,1748,1075,419
Lawrence ,IL,805,1651,1888,2394,2192,1991,2096,1478,883,387
Lawrence ,IN,2538,5564,5279,5060,5339,6163,6583,5248,2780,1114
Lawrence ,KY,974,2105,1701,1794,1935,2089,2274,1677,789,233
Lawrence ,MS,788,1736,1427,1426,1476,1551,1811,1299,739,202
Lawrence ,MO,2555,5391,4710,4259,4468,4776,5182,3789,2228,1001
Lawrence ,OH,3300,7389,6748,7199,7277,8258,8382,6503,3618,1192
Lawrence ,PA,4494,9506,10134,9422,9242,11019,13416,10235,5795,2921
Lawrence ,SD,1121,2699,3719,3107,2778,2725,3975,3438,1476,703
Lawrence ,TN,2889,6076,5207,5395,4922,5773,5678,4458,2470,866
Le Flore ,OK,3202,6626,6292,6120,5955,6165,6582,5283,2779,976
Le Sueur ,MN,1734,3879,3282,3142,3511,3844,4115,2869,1543,575
Lea ,NM,5434,12021,10017,10134,8910,7600,7547,4634,2339,975
Leake ,MS,1448,3115,3131,2916,2807,2782,2845,2176,1087,456
Leavenworth ,KS,5308,10857,9682,11211,11713,10276,10526,7121,3377,1281
Lebanon ,PA,8274,18305,17558,16581,16525,17591,19083,14937,8404,4056
Lee ,AL,9629,19594,35231,23253,19742,19328,17683,12160,5520,1801
Lee ,AR,447,888,1018,1378,1127,1203,1160,979,534,251
Lee ,FL,34544,74719,75088,82673,77371,88217,106104,117275,72569,26050
Lee ,GA,1830,4519,3738,3848,4360,4107,3611,2509,946,296
Lee ,IL,1707,3889,3684,4329,4170,4559,5177,3774,1993,941
Lee ,IA,2049,3979,3755,4025,3860,4273,5197,4034,1981,902
Lee ,KY,406,709,734,937,876,1057,1078,818,324,94
Lee ,MS,5826,12034,10787,11290,10878,11062,10727,7371,3819,1408
Lee ,NC,3940,8381,7522,7796,7364,8221,8110,5918,2904,1296
Lee ,SC,869,1945,2236,2388,1968,2126,2463,1960,894,293
Lee ,TX,990,2041,2080,1984,2045,2114,2720,1793,1027,350
Lee ,VA,1079,2517,2377,2941,2877,3205,3519,2948,1623,455
Leelanau ,MI,865,1940,2057,1880,1982,2290,4019,3906,1994,831
Leflore ,MS,2236,4467,4534,3704,3264,3067,3476,2392,1214,565
Lehigh ,PA,21831,46728,48212,48755,45741,47157,48169,34098,18376,9033
Lemhi ,ID,394,815,705,694,792,770,1382,1380,751,278
Lenawee ,MI,5364,11496,12723,11420,11518,12974,14126,11102,5401,2142
Lenoir ,NC,3209,7166,6709,6271,6079,6991,8463,6387,3409,1292
Leon ,FL,15155,30175,71945,42524,32118,29755,31675,24414,10518,4223
Leon ,TX,1055,2163,1835,1657,1827,1882,2625,2376,1403,447
Leslie ,KY,599,1221,1037,1305,1214,1423,1526,1091,551,176
Letcher ,KY,1318,2688,2205,2447,2711,2899,3354,2687,1247,343
Levy ,FL,2069,4526,3951,4569,4033,5032,6487,5972,3242,889
Lewis ,ID,196,523,380,344,355,404,641,568,332,118
Lewis ,KY,737,1608,1477,1539,1601,1778,2048,1443,800,226
Lewis ,MO,562,1231,1619,1020,1064,1153,1384,983,582,257
Lewis ,NY,1631,3365,3046,3058,2948,3394,4160,2750,1478,617
Lewis ,TN,676,1456,1371,1350,1383,1516,1805,1483,738,308
Lewis ,WA,4706,9408,8847,9497,9107,9530,11804,9974,5003,1728
Lewis ,WV,889,1947,1656,1803,1930,2185,2308,1956,1020,330
Lewis and Clark ,MT,4013,8244,7920,8563,8377,8298,10382,8029,3410,1464
Lexington ,SC,17000,39381,34217,39910,38223,40144,39576,28410,13365,4806
Lexington city,VA,101,432,3373,582,490,468,534,602,360,194
Liberty ,FL,396,815,996,1438,1318,1223,1042,731,396,102
Liberty ,GA,6386,8742,10715,11960,6643,5598,5764,3665,1630,394
Liberty ,MT,147,289,260,301,274,270,389,227,166,107
Liberty ,TX,6223,12891,11536,12294,10875,11063,10389,7003,3048,1001
Licking ,OH,10599,22951,22942,20848,21156,23705,24662,17133,8713,3060
Limestone ,AL,5393,12356,11190,12539,13080,14081,12927,8822,4395,1391
Limestone ,TX,1475,2859,2932,2982,2727,2708,3255,2673,1343,565
Lincoln ,AR,537,1287,1773,2302,1959,1897,1579,1139,661,249
Lincoln ,CO,303,633,650,892,711,714,722,509,312,164
Lincoln ,GA,440,812,822,904,766,951,1335,1128,571,186
Lincoln ,ID,367,899,751,605,743,622,615,472,195,91
Lincoln ,KS,162,398,315,238,324,345,502,399,187,153
Lincoln ,KY,1658,3213,2801,2907,2783,3440,3351,2610,1417,464
Lincoln ,ME,1436,3241,3262,3352,3353,4352,5828,5610,2816,1092
Lincoln ,MN,342,779,543,544,603,624,830,625,481,302
Lincoln ,MS,2079,4620,4049,4145,4367,4428,4636,3437,1765,679
Lincoln ,MO,3995,8149,7005,7972,7211,7573,8041,4672,2256,812
Lincoln ,MT,883,2027,1688,1650,1914,2276,3686,3454,1722,494
Lincoln ,NE,2110,4765,3985,4086,4423,4031,4980,3791,2019,995
Lincoln ,NV,215,613,644,576,600,595,670,753,415,120
Lincoln ,NM,915,2055,1807,1836,1849,2158,3319,3348,1750,519
Lincoln ,NC,4326,10040,9327,9418,10115,13035,12707,9146,4351,1305
Lincoln ,OK,2057,4762,4108,3980,3995,4465,5153,3676,2035,689
Lincoln ,OR,2227,4747,4259,4715,5144,5398,8856,8929,3856,1257
Lincoln ,SD,4321,9653,6770,8518,8717,6899,6361,4699,1940,929
Lincoln ,TN,1875,4339,3788,3904,3875,4599,5107,3750,2201,679
Lincoln ,WA,554,1323,1134,899,1126,1194,1764,1595,809,342
Lincoln ,WV,1169,2607,2168,2135,2568,2853,3084,2403,1262,350
Lincoln ,WI,1264,2765,2938,2671,3080,4066,4956,3303,1858,788
Lincoln ,WY,1312,2971,2162,1901,2529,2227,2956,2189,911,276
Lincoln Parish,LA,2720,5120,13476,5833,4693,4295,4663,3596,1918,882
Linn ,IA,14337,29260,29453,30809,29345,28308,28695,20429,10581,4692
Linn ,KS,525,1218,1073,927,1162,1171,1494,1276,640,264
Linn ,MO,730,1592,1411,1298,1319,1348,1796,1422,750,371
Linn ,OR,7811,15968,14853,17240,15199,15076,17517,14150,6984,2537
Lipscomb ,TX,199,510,408,406,409,351,464,319,195,94
Litchfield ,CT,7493,18626,20352,18893,18925,26867,31453,22393,11109,5000
Little River ,AR,734,1533,1382,1397,1416,1576,1699,1528,809,252
Live Oak ,TX,656,1341,1343,1742,1515,1342,1722,1376,828,301
Livingston ,IL,1934,4306,4335,4502,4169,4421,5226,3647,2070,1151
Livingston ,KY,508,1061,929,985,971,1272,1510,1168,632,206
Livingston ,MI,9709,22678,23893,20689,21812,28937,30586,20341,9201,3378
Livingston ,MO,852,1812,1648,2098,2049,1865,1907,1496,893,526
Livingston ,NY,2708,6376,11609,6823,6589,8262,9553,6566,3238,1503
Livingston Parish,LA,9578,20099,16970,20000,19601,18307,16590,11554,5373,1495
Llano ,TX,953,1803,1745,1698,1668,2275,3686,4279,2589,950
Logan ,AR,1310,2503,2575,2465,2426,3033,3110,2457,1396,462
Logan ,CO,1143,2166,2958,3293,2730,2546,2868,2064,1135,625
Logan ,IL,1529,3060,3968,3990,3787,3455,3851,2799,1654,832
Logan ,KS,210,364,317,330,329,257,445,289,193,110
Logan ,KY,1739,3518,3101,3255,3144,3459,3749,2889,1570,565
Logan ,NE,48,111,75,57,101,71,117,95,52,22
Logan ,ND,127,240,208,163,168,204,299,228,179,87
Logan ,OH,2652,5891,5393,5196,5286,5924,6791,4934,2379,912
Logan ,OK,2749,6150,6920,5291,6110,5899,6711,4473,2191,797
Logan ,WV,1760,3719,3516,3650,4191,4323,4847,4193,1826,582
Long ,GA,1407,2876,2490,3128,2754,2374,2138,1199,425,207
Lonoke ,AR,4988,10729,9256,10366,10123,9501,8886,5880,2974,954
Lorain ,OH,17335,38348,39175,35057,37060,41425,44432,32887,16598,7144
Los Alamos ,NM,1008,2443,2140,2369,2358,2536,2837,1935,1022,453
Los Angeles ,CA,603555,1214905,1329885,1640036,1381122,1348567,1211491,784621,399874,191462
Loudon ,TN,2771,5768,5296,5325,5216,6598,8054,8227,4424,1375
Loudoun ,VA,28856,66732,49807,47857,69576,63898,42322,22730,10803,4269
Louisa ,IA,683,1372,1367,1216,1441,1396,1629,1157,623,285
Louisa ,VA,1972,4168,3650,4339,4087,5102,6176,4601,2041,642
Loup ,NE,30,62,69,53,49,56,134,97,56,12
Love ,OK,648,1408,1245,1277,1139,1181,1301,1126,615,194
Loving ,TX,11,28,27,27,15,9,20,12,3,0
Lowndes ,AL,614,1268,1133,1244,1064,1270,1501,1069,596,215
Lowndes ,GA,7897,15848,23637,17713,13008,12087,11765,8532,4347,1487
Lowndes ,MS,3791,7853,8097,8180,6883,6967,7807,5474,2724,1154
Lubbock ,TX,20651,40746,63280,45255,36427,30796,32057,21899,11583,4718
Lucas ,IA,566,1081,1005,873,881,1035,1322,1018,591,273
Lucas ,OH,27386,54942,54253,61438,49534,53083,59216,41081,19833,9133
Luce ,MI,252,591,681,834,826,831,976,675,452,165
Lumpkin ,GA,1482,3297,7239,3639,3383,3691,4438,3580,1712,494
Luna ,NM,1814,3440,3130,2945,2335,2435,2812,2755,1705,592
Lunenburg ,VA,588,1286,1148,1473,1491,1542,1861,1593,824,280
Luzerne ,PA,16393,34747,39019,40361,36329,42829,44784,34681,18847,9656
Lycoming ,PA,6061,13238,14031,14901,12597,14289,16612,12252,6508,3175
Lyman ,SD,350,609,480,434,409,367,567,337,209,59
Lynchburg city,VA,5131,8276,22906,11639,7151,7273,7927,6247,3593,1983
Lynn ,TX,412,921,697,714,717,654,772,509,371,110
Lyon ,IA,901,1892,1407,1221,1496,1257,1497,1092,639,409
Lyon ,KS,2010,4176,7116,4137,3447,3365,4080,2821,1446,808
Lyon ,KY,290,669,736,892,943,1075,1324,1220,654,206
Lyon ,MN,1907,3672,3481,3321,3127,2762,3299,2119,1199,742
Lyon ,NV,3053,6763,5796,7095,6363,6682,8243,7478,3502,833
Mackinac ,MI,436,910,1068,1018,988,1392,1950,1736,967,322
Macomb ,MI,47964,102195,105401,117607,104629,122731,125596,84782,44076,19778
Macon ,AL,855,1677,3864,2079,1657,2058,2493,2272,1059,425
Macon ,GA,666,1345,1666,2019,1588,1688,1901,1431,649,190
Macon ,IL,6425,12878,13035,12468,11998,12110,14838,11544,6250,3166
Macon ,MO,863,1977,1700,1544,1669,1800,2153,1843,1106,498
Macon ,NC,1759,3699,3411,3485,3395,4074,5406,5705,3259,1092
Macon ,TN,1719,3315,2957,3157,2830,3318,3155,2309,1146,359
Macoupin ,IL,2410,5433,5254,4988,5424,5784,7014,5085,2674,1247
Madera ,CA,11922,24426,21863,22025,19859,18118,17408,13300,6373,2378
Madison ,AL,21403,44635,48609,51209,44638,49370,51530,31777,17125,6223
Madison ,AR,1112,2098,1913,1920,1834,2096,2365,1851,985,307
Madison ,FL,940,1933,1979,2593,2222,2453,2611,2236,1146,416
Madison ,GA,1781,3865,3456,3698,3584,4023,4211,3082,1509,441
Madison ,ID,3768,5106,13917,5945,3031,2349,2450,1566,876,296
Madison ,IL,15202,32597,31433,35412,32184,34038,38110,25624,13704,6157
Madison ,IN,7305,15770,15905,16452,15856,17322,17317,13764,7117,2833
Madison ,IA,926,2395,1854,1648,2084,2324,2258,1570,827,363
Madison ,KY,5218,10762,19436,11429,11051,11211,10524,7723,3618,1396
Madison ,MS,6684,15042,13880,13618,14412,14011,13940,9029,3546,1468
Madison ,MO,730,1620,1333,1456,1376,1591,1752,1277,764,289
Madison ,MT,348,778,752,1011,911,969,1525,1608,625,241
Madison ,NE,2598,5011,4726,4528,4152,3830,4904,3003,1622,1018
Madison ,NY,3287,7627,11605,7498,7458,9354,11011,7518,3878,1559
Madison ,NC,1030,2115,2918,2403,2469,2791,3177,2925,1396,539
Madison ,OH,2250,5213,5197,6037,6331,6544,5978,3981,2166,716
Madison ,TN,6040,12112,13932,12377,11085,12191,13253,9826,4823,1966
Madison ,TX,780,1730,2204,2570,1843,1549,1495,1239,737,275
Madison ,VA,657,1529,1400,1449,1364,1724,2213,1706,915,338
Madison Parish,LA,766,1463,1409,1893,1263,1423,1338,945,454,207
Magoffin ,KY,729,1540,1364,1475,1489,1770,1872,1297,644,182
Mahaska ,IA,1444,2949,2919,2541,2634,2467,3019,2193,1194,640
Mahnomen ,MN,479,1015,663,540,567,577,727,515,304,132
Mahoning ,OH,12161,25406,27790,27460,25588,28320,34772,26595,14193,7357
Major ,OK,503,1113,826,799,880,844,1079,836,551,213
Malheur ,OR,2205,4530,4225,4112,3641,3439,3517,2814,1565,677
Manassas city,VA,3543,6063,5257,6312,5950,5286,4910,2805,1105,410
Manassas Park city,VA,672,2493,2392,2962,2913,2706,1785,870,383,131
Manatee ,FL,18437,40964,38459,41768,40656,48100,58298,58551,35005,14617
Manistee ,MI,1068,2331,2659,2569,2381,3005,4197,3690,1906,722
Manitowoc ,WI,4054,9215,8886,8346,8943,10501,12936,9089,4871,2233
Marathon ,WI,8001,17475,15690,16285,16613,17772,19612,13527,7248,3205
Marengo ,AL,1209,2383,2258,2296,2083,2421,2679,2078,1149,510
Maricopa ,AZ,279620,594067,587337,643814,574288,552449,509964,388110,202551,78624
Maries ,MO,389,1042,1005,897,982,1176,1395,1041,613,229
Marin ,CA,11842,30182,26881,22521,30496,40312,39489,33470,16648,7825
Marinette ,WI,1937,4399,4035,3960,4206,5097,7178,5416,2932,1274
Marion ,AL,1597,3425,3372,3392,3343,4125,4188,3485,2135,701
Marion ,AR,837,1778,1416,1508,1476,1951,2988,2918,1432,418
Marion ,FL,17802,37659,35399,39209,35392,40928,49410,56073,36456,11649
Marion ,GA,416,1007,963,900,859,1133,1402,996,546,129
Marion ,IL,2424,4892,4141,4506,4238,4544,5467,4030,2312,1066
Marion ,IN,68903,129938,124493,161351,123215,111797,114615,71590,33217,15551
Marion ,IA,1954,4523,4941,3593,3900,4049,4490,3262,1898,797
Marion ,KS,610,1464,1636,1128,1171,1333,1825,1408,863,512
Marion ,KY,1219,2693,2398,2253,2395,2586,2674,1874,885,427
Marion ,MS,1433,3332,2898,3027,3061,3013,3360,2628,1343,620
Marion ,MO,1859,3690,3736,3491,3324,3435,3889,2862,1539,767
Marion ,OH,3738,7551,7699,8746,8057,8772,9115,6748,3371,1459
Marion ,OR,23378,48113,45552,48952,44333,40449,41742,32114,15674,6561
Marion ,SC,1824,4022,3677,3509,3590,3813,4442,3837,1739,586
Marion ,TN,1618,3316,3201,3306,3274,3879,4244,3473,1713,551
Marion ,TX,447,1026,934,929,975,1259,1740,1521,842,255
Marion ,WV,3107,6207,8216,6547,6641,7013,7403,6300,3328,1335
Mariposa ,CA,750,1573,1587,1869,1668,1971,3171,2839,1499,544
Marlboro ,SC,1386,2997,3000,3778,3384,3488,3604,2980,1337,444
Marquette ,MI,3196,6828,12286,7596,7309,7283,9299,7522,3544,1653
Marquette ,WI,749,1716,1410,1406,1515,1991,2860,2223,1137,427
Marshall ,AL,6769,13286,11562,11971,11242,12325,12579,9430,5266,1679
Marshall ,IL,597,1279,1221,1216,1247,1453,1815,1449,852,405
Marshall ,IN,2926,6543,5939,5042,5371,5838,6328,4597,2506,1158
Marshall ,IA,2628,5845,4966,4777,4422,4715,5356,3946,2184,1142
Marshall ,KS,628,1279,1059,980,1095,1003,1566,1043,690,379
Marshall ,KY,1687,3574,3274,3444,3627,4122,4654,3884,2191,734
Marshall ,MN,614,1180,1039,1011,987,1117,1426,1021,635,360
Marshall ,MS,1997,4135,4665,4385,4127,4653,5275,3819,1790,605
Marshall ,OK,995,2212,1971,1702,1894,1991,2391,2003,1242,405
Marshall ,SD,435,589,565,717,515,533,725,611,265,157
Marshall ,TN,2078,4378,3971,4352,4250,4681,4543,3361,1514,555
Marshall ,WV,1505,3342,3220,3513,3417,4106,4796,4154,1957,775
Martin ,FL,6622,14825,14717,15080,14937,19740,25301,24372,17260,8058
Martin ,IN,617,1292,1122,1123,1153,1320,1562,1182,631,215
Martin ,KY,533,1285,1211,1851,1563,1522,1477,1154,547,180
Martin ,MN,1133,2457,2107,2058,2052,2189,3139,2377,1376,897
Martin ,NC,1215,2552,2436,2441,2188,2972,3621,3077,1623,546
Martin ,TX,508,1008,755,815,654,691,674,379,193,76
Martinsville city,VA,954,1792,1434,1471,1330,1669,1810,1340,796,306
Mason ,IL,688,1613,1486,1399,1564,1752,2052,1651,935,425
Mason ,KY,1054,2292,2036,2030,1898,2344,2349,1882,940,325
Mason ,MI,1499,3362,3001,3115,3054,3420,4795,3966,2096,792
Mason ,TX,246,491,438,367,416,475,627,663,430,127
Mason ,WA,3448,7178,6673,7841,7162,7671,10598,9309,4324,1303
Mason ,WV,1429,3206,2801,2936,3241,3377,4145,3202,1736,645
Massac ,IL,768,1775,1522,1376,1708,1876,2098,1516,942,499
Matagorda ,TX,2623,5201,4520,4611,4156,4153,5067,3664,1853,704
Matanuska-Susitna Borough,AK,7681,16451,13411,15422,14433,13124,14274,8766,3186,862
Mathews ,VA,317,754,897,729,764,1126,1481,1507,926,301
Maui ,HI,9838,20537,17269,21159,22356,21705,23777,18902,7889,3775
Maury ,TN,6216,12355,10495,13037,12277,11901,13045,9265,4248,1501
Maverick ,TX,5396,9720,9981,7995,6733,6457,5287,3994,2171,751
Mayes ,OK,2442,5446,5050,4905,4916,5085,5687,4468,2405,703
McClain ,OK,2385,6036,4872,4654,5494,4981,5369,3703,1927,564
McCone ,MT,94,192,175,166,159,159,292,234,153,51
McCook ,SD,409,881,633,541,651,628,750,541,350,162
McCormick ,SC,262,647,689,954,856,1139,1576,1985,1101,201
McCracken ,KY,3973,8184,7092,8017,7808,8120,9212,7320,3907,1713
McCreary ,KY,1036,2135,2002,2490,2438,2393,2121,1738,836,219
McCulloch ,TX,422,1030,966,869,874,921,1127,1007,543,228
McCurtain ,OK,2269,4629,4044,3981,3652,3988,4179,3364,1923,674
McDonald ,MO,1711,3208,2925,2705,2792,3077,3133,2107,1108,312
McDonough ,IL,1329,2874,7500,3521,2903,2925,3619,2927,1502,855
McDowell ,NC,2328,5207,4985,5324,5280,6331,6735,5471,2826,1020
McDowell ,WV,980,2145,1730,1995,2063,2338,3008,2379,1166,419
McDuffie ,GA,1407,3115,2633,2628,2286,2742,2943,2282,1168,327
McHenry ,IL,16842,41456,39878,35129,38767,46527,44947,27462,12886,4676
McHenry ,ND,359,806,562,632,667,720,883,645,359,183
McIntosh ,GA,592,1303,1370,1506,1351,1907,2483,2273,1188,367
McIntosh ,ND,121,287,236,225,208,266,449,314,284,195
McIntosh ,OK,1111,2171,2101,1926,2028,2352,3122,2772,1668,564
McKean ,PA,1942,4648,5191,4889,4650,5459,6229,4402,2433,1125
McKenzie ,ND,1354,2334,1715,2396,1665,1445,1475,759,333,156
McKinley ,NM,5169,12208,10367,10874,8256,8106,8341,5275,2652,1042
McLean ,IL,10095,20649,36555,22456,20686,19600,19927,13339,6467,3054
McLean ,KY,530,1256,1044,993,1083,1235,1311,1055,545,200
McLean ,ND,603,1176,872,998,1029,1032,1583,1335,654,259
McLennan ,TX,17733,34512,47128,33613,29162,27284,28560,20795,10855,4965
McLeod ,MN,2105,4611,4294,4311,4160,4699,4977,3567,2153,996
McMinn ,TN,2937,6290,6474,6050,6061,7303,7712,5987,3307,1164
McMullen ,TX,33,83,78,95,67,109,104,83,68,29
McNairy ,TN,1347,3203,2985,2841,3018,3486,3582,3141,1725,504
McPherson ,KS,1601,3736,3693,3338,3301,3077,4131,2941,1629,1090
McPherson ,NE,16,48,69,29,48,73,90,65,36,18
McPherson ,SD,157,341,232,203,235,234,329,304,232,140
Meade ,KS,275,617,559,435,401,509,551,389,254,156
Meade ,KY,1519,3757,3528,3836,3941,4077,4031,2466,1179,381
Meade ,SD,1522,3936,4084,4093,3552,3025,3766,2697,1161,458
Meagher ,MT,98,208,155,159,177,189,307,359,143,71
Mecklenburg ,NC,72712,142892,141014,186497,160005,147558,120674,75417,32998,14134
Mecklenburg ,VA,1473,3187,3150,3090,3055,3857,4980,4512,2462,884
Mecosta ,MI,2085,4413,9654,4760,4071,4650,5937,4706,2491,778
Medina ,OH,9585,22696,21168,19404,22218,26015,26070,19104,9303,3583
Medina ,TX,3065,6485,7149,6282,5882,6714,6855,5080,2439,970
Meeker ,MN,1418,3163,2725,2364,2589,2739,3509,2546,1395,693
Meigs ,OH,1215,2765,2516,2549,2788,3131,3552,2673,1388,529
Meigs ,TN,650,1405,1347,1295,1458,1783,1756,1674,734,204
Mellette ,SD,210,339,274,243,176,213,271,191,89,36
Menard ,IL,676,1524,1375,1345,1519,1582,1889,1382,685,311
Menard ,TX,91,227,190,184,184,219,365,351,220,108
Mendocino ,CA,5160,10439,9497,9883,10476,10186,12599,12362,4889,2115
Menifee ,KY,338,613,809,682,742,898,1016,808,416,129
Menominee ,MI,1044,2318,2351,2236,2421,2981,3980,3198,1682,772
Menominee ,WI,465,863,655,542,412,493,613,378,174,63
Merced ,CA,21174,45759,44508,40289,33731,30765,27694,18109,9012,3724
Mercer ,IL,800,1880,1750,1611,1806,2027,2347,1848,1049,483
Mercer ,KY,1284,2686,2454,2485,2394,3058,3324,2389,1247,453
Mercer ,MO,234,470,438,348,351,424,573,403,254,146
Mercer ,NJ,20928,43733,56054,46349,46819,51372,48556,31579,16226,8195
Mercer ,ND,518,1077,819,918,925,933,1485,883,474,235
Mercer ,OH,3064,5754,4938,4835,4451,4663,5969,4098,2107,1080
Mercer ,PA,5502,11734,14962,11629,11677,14433,16755,12950,7299,3742
Mercer ,WV,3383,6788,6813,6911,6735,7246,8249,7622,3859,1525
Meriwether ,GA,1262,2495,2451,2493,2280,2612,3185,2545,1264,481
Merrick ,NE,456,950,908,851,853,971,1154,816,519,255
Merrimack ,NH,7167,16331,19275,18620,17731,21013,23429,16180,7667,3719
Mesa ,CO,8659,18886,19554,20110,18572,16800,21388,17043,8511,3684
Metcalfe ,KY,625,1344,1123,1129,1124,1356,1455,1033,643,198
Miami ,IN,1844,4244,4337,4685,4645,4754,4769,3694,1832,763
Miami ,KS,1961,4741,4052,3531,4188,4558,5018,3149,1730,752
Miami ,OH,6394,13623,12031,12731,12809,13957,14904,11464,6093,2216
Miami-Dade ,FL,159444,305393,325184,394059,379636,405054,344699,240311,143484,64317
Middlesex ,CT,6729,16094,20253,18656,17641,23769,26473,18770,9408,4889
Middlesex ,MA,85768,176704,216972,251192,212027,216593,209070,139577,71312,35499
Middlesex ,NJ,47754,101078,108467,112221,114111,113259,108597,70987,36399,16812
Middlesex ,VA,506,931,957,963,889,1264,1906,1874,1077,402
Midland ,MI,4486,9848,10250,10350,9811,11116,12072,8346,4748,2182
Midland ,TX,15256,26993,21996,31174,23304,17738,18318,10034,5126,2639
Mifflin ,PA,2805,5670,5137,5210,4817,6111,6438,5331,3323,1380
Milam ,TX,1579,3436,3109,2694,2765,2921,3529,2899,1523,676
Millard ,UT,1019,2320,1759,1334,1506,1259,1577,1240,682,310
Mille Lacs ,MN,1690,3543,2938,3006,3078,3292,3805,2622,1533,632
Miller ,AR,2878,5690,5253,5754,5484,5506,5663,4253,2296,815
Miller ,GA,318,750,621,642,603,738,750,629,443,192
Miller ,MO,1584,3342,2887,2983,2915,3160,3587,2860,1412,606
Mills ,IA,856,2034,1740,1478,1840,2039,2302,1738,723,313
Mills ,TX,223,602,518,402,464,589,717,754,447,205
Milwaukee ,WI,64975,126644,126313,154937,121645,110180,114504,74731,35182,19090
Miner ,SD,132,298,257,212,207,244,399,227,147,90
Mineral ,CO,33,54,55,86,70,84,152,161,59,22
Mineral ,MT,209,439,341,385,410,491,794,728,414,105
Mineral ,NV,252,504,421,549,451,466,757,610,381,123
Mineral ,WV,1406,2987,3230,3101,2925,3690,3760,3465,1859,517
Mingo ,WV,1424,2944,2479,2629,2977,3221,3609,2920,1209,373
Minidoka ,ID,1660,3386,2723,2616,2326,2221,2506,1890,1032,465
Minnehaha ,SD,14858,26983,24138,30673,25413,22119,23463,15513,6322,3394
Missaukee ,MI,950,1929,1678,1723,1535,1863,2336,1812,958,329
Mississippi ,AR,2969,5921,5544,5418,4899,4986,5402,3619,1818,663
Mississippi ,MO,674,1620,1599,1827,1769,1794,1681,1333,777,262
Missoula ,MT,6109,12546,20276,18587,15325,12896,14546,11605,5051,1850
Mitchell ,GA,1301,2897,2756,2968,2834,2903,2919,2084,1135,395
Mitchell ,IA,605,1429,1257,1082,1126,1236,1598,1076,724,436
Mitchell ,KS,424,778,797,591,634,623,853,745,441,264
Mitchell ,NC,712,1530,1480,1632,1580,1999,2326,2116,1218,407
Mitchell ,TX,469,1009,1182,1352,1053,958,882,716,385,139
Mobile ,AL,26937,53399,53409,57908,49528,50523,55012,40078,19725,7238
Modoc ,CA,435,972,832,883,897,975,1425,1394,713,251
Moffat ,CO,939,1920,1540,1690,1639,1547,1893,1249,540,231
Mohave ,AZ,9161,20326,19249,21338,18880,22819,34251,35989,21467,6070
Moniteau ,MO,1013,2231,1957,2193,2188,2071,1925,1442,768,333
Monmouth ,NJ,30897,75073,78051,66902,71132,92287,97811,62725,30905,15571
Mono ,CA,691,1480,1732,2086,1847,1888,2273,1470,578,205
Monona ,IA,498,1080,940,839,901,934,1351,1031,699,406
Monongalia ,WV,5301,9422,24894,18161,12840,11089,11265,8247,3565,1636
Monroe ,AL,1105,2583,2626,2264,2309,2775,3130,2387,1321,567
Monroe ,AR,451,800,685,734,666,851,1112,883,517,201
Monroe ,FL,3467,6164,6355,9274,9156,10897,12448,10557,4986,1723
Monroe ,GA,1402,3153,3406,3227,3195,3846,4188,2963,1545,595
Monroe ,IL,1919,4271,3826,3712,4398,4694,5415,3380,1808,912
Monroe ,IN,6468,12528,42664,21049,15660,14059,15240,11260,5506,2483
Monroe ,IA,437,1071,911,786,910,987,1133,874,479,202
Monroe ,KY,675,1332,1239,1194,1257,1431,1574,1185,664,167
Monroe ,MI,7985,18049,17978,17628,17468,20763,23306,15983,7989,3290
Monroe ,MS,2005,4649,4159,4314,4099,4634,4873,3912,2115,804
Monroe ,MO,511,1034,898,858,909,1022,1409,1107,651,265
