county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Jasper ,MS,986,2122,1895,1901,1846,2010,2316,1910,1104,338
Jasper ,MO,8277,16811,16052,16957,15018,14038,14620,10691,5756,2416
Jasper ,SC,1659,3290,3414,3904,3198,3593,4303,3703,1445,462
Jasper ,TX,2209,4932,4154,4137,3961,4374,5084,4076,2244,701
Jay ,IN,1496,2882,2605,2269,2288,2741,2772,2154,1119,438
Jeff Davis ,GA,1040,2273,1937,1845,1815,1909,1843,1433,752,182
Jeff Davis ,TX,35,56,187,213,206,287,483,482,214,89
Jefferson ,AL,41882,83897,82584,95925,83467,80367,86631,61585,29519,13443
Jefferson ,AR,4158,8270,9553,8847,7827,8275,9407,7032,3398,1347
Jefferson ,CO,30223,63915,65207,86493,79269,76037,83612,58417,26341,10719
Jefferson ,FL,638,1406,1285,1676,1644,2025,2252,2036,956,370
Jefferson ,GA,984,2007,1891,1921,1713,1984,2111,1662,865,292
Jefferson ,ID,2535,5844,4113,3527,4022,2910,3103,2068,975,342
Jefferson ,IL,2384,4653,4173,4831,4669,4813,5058,4118,2168,953
Jefferson ,IN,1841,3521,4478,3788,3843,4240,4701,3470,1685,641
Jefferson ,IA,799,1546,2782,2724,1892,1845,2674,2713,928,478
Jefferson ,KS,1041,2485,2166,1947,2213,2487,3098,2050,1052,436
Jefferson ,KY,48326,94206,94227,114278,96450,94937,103590,73173,35397,15933
Jefferson ,MS,458,902,861,955,832,841,1058,669,359,171
Jefferson ,MO,13211,29694,25666,28929,29529,30491,33191,20932,9671,3033
Jefferson ,MT,523,1426,1300,1017,1373,1665,2199,1782,650,162
Jefferson ,NE,398,882,731,701,744,802,1141,895,527,276
Jefferson ,NY,8720,14334,17474,19090,13002,11634,12225,8909,4427,1940
Jefferson ,OH,3290,7042,8519,7182,6836,8423,10302,8095,4340,1738
Jefferson ,OK,391,847,660,703,646,679,890,736,424,147
Jefferson ,OR,1543,3260,2709,3064,2678,2915,3309,2913,1446,355
Jefferson ,PA,2389,5181,4794,5010,4742,5598,6730,5003,2918,1276
Jefferson ,TN,2598,6006,6731,5972,6085,7775,8027,6392,3441,985
Jefferson ,TX,17728,33814,33820,37417,32797,30423,32193,21040,10772,4997
Jefferson ,WA,957,2124,2169,2701,2711,3307,6067,7382,3283,1028
Jefferson ,WV,3033,7239,6925,6481,7324,8619,7992,5840,2546,812
Jefferson ,WI,4377,10120,11367,9881,10739,11775,12434,8633,4245,1558
Jefferson Davis ,MS,602,1266,1275,1260,1248,1397,1636,1477,761,312
Jefferson Davis Parish,LA,2194,4558,3938,3987,3709,3775,4262,2855,1675,629
Jefferson Parish,LA,28335,52057,47709,62903,54322,54118,60277,43923,21189,9218
Jenkins ,GA,461,990,1160,1271,1086,1107,1150,873,430,155
Jennings ,IN,1644,3611,3379,3325,3192,4028,3893,2751,1396,392
Jerauld ,SD,131,275,173,199,236,191,288,292,156,102
Jerome ,ID,1996,4302,3100,3205,2957,2591,2747,1845,968,304
Jersey ,IL,1090,2520,2858,2371,2426,2886,3436,2326,1384,550
Jessamine ,KY,3481,7242,7531,6826,6687,7034,7032,4809,2248,1030
Jewell ,KS,156,306,255,263,236,280,489,437,273,146
Jim Hogg ,TX,423,911,714,602,621,522,532,529,315,79
Jim Wells ,TX,3068,6475,5553,5342,4924,4582,4612,3630,1879,757
Jo Daviess ,IL,895,2363,2115,1865,2151,2497,3476,3499,1813,692
Johnson ,AR,1813,3681,3637,3311,3168,3269,3463,2548,1337,515
Johnson ,GA,498,989,1103,1298,1295,1368,1333,1051,529,244
Johnson ,IL,600,1271,1457,1588,1467,1632,1765,1521,872,283
Johnson ,IN,10209,21801,19887,21062,21123,20390,18984,13289,6962,2518
Johnson ,IA,8834,16553,36797,23221,18103,15180,14836,10891,4633,2212
Johnson ,KS,38056,82222,72881,81788,83651,77637,74597,51858,23429,11436
Johnson ,KY,1203,2797,2584,2576,2804,3162,3143,2548,1198,371
Johnson ,MO,3340,6328,12560,7776,5688,5194,5976,3944,1997,849
Johnson ,NE,240,558,563,712,683,666,749,496,281,186
Johnson ,TN,747,1703,1784,2150,2161,2614,2563,2390,1256,410
Johnson ,TX,11436,25445,22286,22441,22062,22184,21288,14767,7286,2166
Johnson ,WY,410,1154,787,819,978,958,1350,1178,589,237
Johnston ,NC,12907,29733,24794,24971,28136,30583,24562,17200,7487,2302
Johnston ,OK,665,1476,1419,1281,1263,1280,1436,1238,687,204
Jones ,GA,1446,3886,3574,3194,3548,3998,3922,3057,1531,460
Jones ,IA,1073,2553,2269,2372,2495,2633,3076,2287,1325,661
Jones ,MS,4593,9729,9195,8373,7951,8054,8989,6701,3534,1342
Jones ,NC,469,998,978,1072,1006,1256,1680,1292,637,249
Jones ,SD,57,122,77,92,76,115,173,119,64,33
Jones ,TX,869,1924,2574,3376,2953,2668,2362,1741,975,375
Josephine ,OR,4523,9651,8625,9479,9034,9843,13529,13209,6858,2642
Juab ,UT,1043,2238,1788,1371,1542,1166,1010,866,414,117
Judith Basin ,MT,88,212,174,158,198,228,365,295,176,58
Juneau ,WI,1442,3024,2664,3013,3148,3670,4266,3138,1662,590
Juneau City and Borough,AK,1843,3781,3964,4852,4426,4297,4652,2981,989,328
Juniata ,PA,1398,3082,2915,2752,2737,3273,3585,2767,1529,666
Kalamazoo ,MI,15891,31843,50465,36143,30702,29257,30939,23110,11257,5263
Kalawao ,HI,0,0,0,7,7,16,21,13,10,14
Kalkaska ,MI,924,2145,1924,2052,2041,2292,2819,2257,1097,273
Kanabec ,MN,873,1970,1802,1608,1831,2082,2717,1964,1018,342
Kanawha ,WV,9554,20259,19916,22009,21844,22596,27004,21831,10982,4459
Kandiyohi ,MN,2930,5844,5153,5150,4776,4760,6181,4390,2412,1259
Kane ,IL,33904,76941,73151,64037,71334,74714,67126,44110,20701,8198
Kane ,UT,460,1048,818,878,840,777,1092,1111,555,130
Kankakee ,IL,6542,13858,16715,13384,12882,13593,14500,10476,5419,2655
Karnes ,TX,941,1846,2199,2826,2193,1700,1740,1182,702,321
Kauai ,HI,4375,8869,7367,8759,9059,8906,10259,8868,3638,2033
Kaufman ,TX,9470,20123,16373,17545,18149,16591,15004,9505,4433,1429
Kay ,OK,3013,6286,5467,5349,5075,4738,5694,4632,2724,1183
Kearney ,NE,415,936,732,732,747,762,939,680,410,191
Kearny ,KS,315,675,490,545,442,419,445,329,195,88
Keith ,NE,447,890,756,780,777,906,1323,1210,703,229
Kemper ,MS,445,1049,1787,1199,1060,1179,1283,1086,625,314
Kenai Peninsula Borough,AK,3552,7445,6606,7390,6921,7123,9308,6881,2617,690
Kendall ,IL,8626,21391,16845,15973,20862,18197,12899,8267,3551,1304
Kendall ,TX,2319,6115,5616,4531,5690,6149,6518,5061,2567,1075
Kenedy ,TX,17,76,72,50,44,58,56,38,18,13
Kennebec ,ME,6052,13235,14362,14139,13816,16670,19459,14407,6952,2991
Kenosha ,WI,9710,21770,23556,21884,21155,23588,23702,13897,6999,3029
Kent ,DE,11170,22780,24597,24334,20739,21650,22797,17824,9508,3151
Kent ,MD,789,1735,2761,2075,1700,2136,3010,2803,1656,718
Kent ,MI,43941,87640,88115,103518,82090,78247,80939,52339,24997,11960
Kent ,RI,8061,16969,17208,21774,19936,23303,25648,17764,8714,4484
Kent ,TX,37,91,66,59,67,91,118,90,77,30
Kenton ,KY,11218,21933,19619,24596,21702,20988,22016,14714,6599,2666
Keokuk ,IA,600,1326,1121,1090,1127,1167,1602,1128,680,384
Kern ,CA,69785,147809,132114,139710,114367,100441,94191,59364,28602,10381
Kerr ,TX,2734,5551,5975,5533,4802,5713,7581,7806,4803,1907
Kershaw ,SC,3882,8646,7501,7645,7872,8589,9429,7326,3482,1220
Ketchikan Gateway Borough,AK,819,1721,1655,1940,1771,1728,2122,1402,552,208
Kewaunee ,WI,1063,2472,2336,2105,2368,2707,3164,2338,1228,602
Keweenaw ,MI,89,162,161,145,174,208,397,465,248,64
Keya Paha ,NE,33,98,70,55,81,71,151,118,93,40
Kidder ,ND,149,283,223,251,251,270,423,312,205,83
Kimball ,NE,218,424,390,358,363,408,574,434,312,137
Kimble ,TX,190,426,437,397,411,496,725,718,424,138
King ,TX,13,50,22,31,30,41,41,23,21,5
King ,WA,130129,251042,252726,408870,335424,294350,265512,177417,79327,38366
King and Queen ,VA,304,720,716,805,687,996,1202,951,465,196
King George ,VA,1595,3899,3373,3327,3677,3705,3523,2127,1008,341
King William ,VA,1022,2179,1913,2228,2085,2421,2363,1707,777,244
Kingfisher ,OK,1079,2452,2025,1861,1908,1874,2094,1381,810,332
Kingman ,KS,415,887,826,740,788,861,1208,795,527,263
Kings ,CA,11371,23375,22824,25742,20815,17366,14357,8979,4669,1868
Kings ,NY,187240,314701,296056,474817,359825,303199,287746,204389,104443,50414
Kingsbury ,SD,327,634,500,480,525,525,789,609,337,193
Kinney ,TX,152,423,481,465,484,423,435,439,350,115
Kiowa ,CO,109,150,161,135,138,130,236,165,103,56
Kiowa ,KS,169,313,390,246,233,256,357,301,151,100
Kiowa ,OK,538,1155,1028,960,953,1043,1323,973,590,166
Kit Carson ,CO,461,1062,813,831,812,736,1063,716,453,216
Kitsap ,WA,15688,30467,35037,39748,32075,31467,37229,30004,13098,4992
Kittitas ,WA,2181,4581,11420,6002,4765,4837,5986,4644,2167,781
Kittson ,MN,233,526,457,390,397,493,716,540,329,167
Klamath ,OR,4196,8228,7805,8599,7221,7690,9574,8733,4192,1415
Kleberg ,TX,2116,4094,7658,4392,3226,2886,2728,2249,1276,504
Klickitat ,WA,1102,2405,2141,2242,2595,2758,3582,3316,1497,469
Knott ,KY,841,1687,2066,1610,1725,2110,2293,1737,799,258
Knox ,IL,2804,5315,6597,5973,5672,5910,7021,5972,3297,1551
Knox ,IN,2207,4390,6025,4290,4025,4278,5098,3690,2051,841
Knox ,KY,1962,4111,4104,3931,3655,4147,3988,3148,1740,518
Knox ,ME,1768,4032,3838,4172,4330,5025,6549,5949,2877,1231
Knox ,MO,231,512,479,379,384,477,614,450,295,126
Knox ,NE,544,1140,930,744,800,866,1317,1028,657,393
Knox ,OH,3764,7824,9545,6792,6626,7484,8627,6510,3352,1369
Knox ,TN,26506,54407,72121,63626,57989,58716,58263,43480,21646,8535
Knox ,TX,256,555,418,443,379,388,488,394,236,96
Kodiak Island Borough,AK,1042,1861,1751,2166,1820,1517,1809,918,370,91
Koochiching ,MN,550,1269,1267,1192,1241,1552,2190,1807,983,389
Kootenai ,ID,9664,20797,18473,20793,19457,19560,22091,18629,8914,3127
Kosciusko ,IN,5179,10484,10433,10272,9160,9665,10877,7771,3984,1519
Kossuth ,IA,849,1843,1632,1504,1489,1621,2432,1720,1189,629
Kusilvak Census Area,AK,1088,1841,1370,1318,745,729,716,343,106,47
La Crosse ,WI,6014,13403,22931,15052,13203,13172,15056,11057,5572,2770
La Paz ,AZ,1002,1989,1755,1962,1694,1772,2637,3852,3429,1006
La Plata ,CO,2854,6046,6979,7621,7547,6920,8675,6454,2365,849
La Salle ,TX,418,813,1536,1376,924,822,609,591,329,113
Labette ,KS,1343,2675,2284,2349,2081,2526,2894,2122,1142,548
Lac qui Parle ,MN,320,773,687,540,669,715,1120,884,560,390
