county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Brooke,WV,4.558092894,0,269.8
Brookings,SD,2.850870941,0,40.3
Brooks,GA,6.469560717,0,32.9
Brooks,TX,14.09840688,0,7.7
Broome,NY,0.524967452,0,284.2
Broomfield,CO,1.419144256,0,1691.9
Broward,FL,0.102418196,0,1444.9
Brown,WI,0.378011809,0,468.2
Brown,TX,2.641031059,0,40.3
Brown,SD,2.574731584,0,21.3
Brown,IN,6.626027034,0,48.9
Brown,OH,2.302449807,0,91.5
Brown,MN,7.997440819,0,42.4
Brown,IL,15.20218912,0,22.7
Brown,KS,10.4558762,0,17.5
Brule,SD,37.75722107,0,6.4
Brunswick,NC,0.700182047,0,126.8
Brunswick,VA,6.161049843,0,30.8
Bryan,GA,5.047063871,0,69.3
Bryan,OK,2.08355037,0,46.9
Buchanan,IA,4.722550177,0,36.7
Buchanan,MO,2.289272469,0,218.6
Buchanan,VA,4.760997905,0,47.9
Buckingham,VA,11.66316772,0,29.6
Bucks,PA,0.318334474,0,1034.7
Buena Vista,IA,5.096839959,0,35.2
Buena Vista city,VA,15.43686323,0,991.9
Buffalo,NE,2.013733664,0,47.6
Buffalo,WI,7.674008134,0,20.2
Buffalo,SD,50.96839959,0,4.1
Bullitt,KY,2.44869974,0,250.2
Bulloch,GA,1.25615516,0,104.4
Bullock,AL,19.8000198,0,17.5
Buncombe,NC,0.382861584,0,362.9
Bureau,IL,3.064852274,0,40.2
Burke,GA,4.467676362,0,28.2
Burke,NC,2.210311101,0,179.3
Burke,ND,94.56264775,0,1.8
Burleigh,ND,2.091481396,0,49.8
Burleson,TX,5.42211137,0,26.1
Burlington,NJ,0.449085998,0,561.9
Burnet,TX,2.076627557,0,43
Burnett,WI,6.487608667,6.487608667,18.8
Burt,NE,15.4822728,0,14
Butler,KS,1.494522575,0,46.1
Butler,OH,1.044021152,0,788.2
Butler,PA,0.532331131,0,233.1
Butler,AL,5.141916907,0,27
Butler,IA,6.925687374,0,25.6
Butler,KY,7.764577995,0,29.8
Butler,MO,2.3541598,0,61.6
Butler,NE,12.4750499,0,14.4
Butte,CA,0.456233519,0,134.4
Butts,GA,8.020532563,0,128.3
