,county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
2234,Hays,Texas,0.43442185,0.0,231.7
2241,Summit,Utah,4.745521414,0.0,19.4
2246,Washington,Vermont,1.712064922,0.0,86.6
2247,Windsor,Vermont,3.632269078,0.0,58.5
2249,Chesterfield,Virginia,0.283445105,0.0,747.1
2256,Spotsylvania,Virginia,0.7341335390000001,0.0,304.9
2270,Klickitat,Washington,4.459308807,0.0,10.9
2286,Winnebago,Wisconsin,0.581709878,0.0,384.3
2292,Lee,Alabama,0.607747566,0.0,230.8
2295,Shelby,Alabama,0.918687013,0.0,248.5
2302,Garland,Arkansas,2.012355865,0.0,141.7
2305,Saline,Arkansas,0.816746572,0.0,148.0
2319,San Bernardino,California,0.045869771,0.0,101.5
2325,Santa Barbara,California,0.223964667,0.0,155.0
2343,Garfield,Colorado,1.6649739430000001,0.0,19.1
2360,Baker,Florida,3.423485108,0.0,46.3
2363,Citrus,Florida,0.668194605,0.0,242.8
2386,Clarke,Georgia,1.5584698940000001,0.0,979.1
2387,Clayton,Georgia,0.684331545,0.0,1832.5
2391,Dougherty,Georgia,6.821592614,0.0,287.7
2400,Newton,Georgia,0.894902635,0.0,367.3
2404,Maui,Hawaii,0.597310906,0.0,133.3
2408,Clinton,Illinois,2.662265055,0.0,79.7
2417,Whiteside,Illinois,1.8124150430000001,0.0,85.5
2418,Winnebago,Illinois,0.353892105,0.0,575.2
2422,Hamilton,Indiana,0.29584836,0.0,696.4
2431,Allamakee,Iowa,14.61240593,0.0,22.4
2436,Polk,Iowa,0.204014599,0.0,750.5
2443,Clark,Kentucky,2.7576317460000004,0.0,141.1
2454,St. Bernard,Louisiana,2.1166709,0.0,95.1
2461,Lincoln,Maine,2.887336144,0.0,75.6
2467,Howard,Maryland,0.307040437,0.0,1144.9
2470,Baltimore city,Maryland,0.168494836,0.0,7671.5
2475,Hampden,Massachusetts,0.21442110600000003,0.0,751.0
2478,Plymouth,Massachusetts,0.575592573,0.0,750.9
2490,Ottawa,Michigan,0.34266525,0.0,468.2
2502,Waseca,Minnesota,5.372877712999999,0.0,45.2
2503,Washington,Minnesota,0.381039476,0.0,619.7
2507,Hinds,Mississippi,0.862663906,0.0,282.0
2524,Hillsborough,New Hampshire,0.23979377699999999,0.0,457.4
2546,Erie,New York,0.326547673,0.0,881.4
2547,Greene,New York,4.238365686,0.0,76.1
2550,Montgomery,New York,2.031653156,0.0,124.6
2554,Putnam,New York,2.034174125,0.0,432.9
2573,Watauga,North Carolina,1.780087936,0.0,163.4
2575,Wilson,North Carolina,1.222478943,0.0,220.6
2582,Lucas,Ohio,0.233455041,0.0,1296.2
2583,Medina,Ohio,0.556340614,0.0,409.0
2588,Cleveland,Oklahoma,0.35209531899999996,0.0,474.7
2590,Kay,Oklahoma,2.296844136,0.0,50.6
2592,Payne,Oklahoma,1.222733053,0.0,113.0
2605,Yamhill,Oregon,0.9337068159999999,0.0,138.6
2611,Lehigh,Pennsylvania,0.270769364,0.0,1012.5
2612,Luzerne,Pennsylvania,0.315042988,0.0,360.4
2620,Anderson,South Carolina,0.987371518,0.0,261.6
2623,Greenville,South Carolina,0.191006643,0.0,574.7
