county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Catawba,NC,"Catawba, NC",35.66211129,-81.2132617,156182,82751,56203,25420,0.679,0.307,4701,62,76437,79745,9.3,76.1,7.9,0.2,4.1,0,48649,25960,14.2,30.5,15.6,23.2,7.3,23.5,84.8,8.7,0.2,0.9,2.1,3.4,22.6,72258,83.7,10.6,5.5,0.2,7.4,0.626758842,0,387.1,8919,19732,19715,18821,18528,22474,22126,16903,8470,2964,0,0,0,0,0,0
Catoosa,GA,"Catoosa, GA",34.89872298,-85.13757014,65870,32692,25167,6932,0.77,0.212,1493,23,31953,33917,2.9,91.4,2.3,0.2,1.3,0,54537,25643,10.8,32.2,13.5,28.5,10.4,15.4,85.6,10,0,0.5,0.5,3.4,23.3,31464,82.7,12,5.2,0.1,5.4,1.47972773,0,394.3,3715,8838,8098,8181,8490,9388,8756,6947,3806,1201,0,0,0,0,0,0
Catron,NM,"Catron, NM",33.91514144,-108.4046587,3547,2325,1698,594,0.73,0.255,10,1,1861,1686,15.8,83.3,0.3,0.1,0.3,0,42047,22487,21.5,39.2,12.5,29.6,17.4,1.3,58.1,4.6,0,17.6,3.7,15.9,14.6,919,60.4,24.9,14.7,0,0,28.35270768,0,0.5,110,232,284,230,218,282,736,903,464,119,0,0,0,0,0,0
Cattaraugus,NY,"Cattaraugus, NY",42.24778241,-78.67923096,78175,30051,20295,9142,0.675,0.304,549,18,38739,39436,2,90.8,1.6,2.9,0.9,0,45571,23984,16.9,30.5,19.1,24.3,10.8,15.3,82.4,8.2,0.4,4.7,1.5,3,21.9,33732,73.4,20,6.3,0.2,7,1.313766964,0,61.4,4272,9622,10002,8478,8339,9718,11680,8587,4296,1846,0,0,0,0,0,0
Cayuga,NY,"Cayuga, NY",42.91261714,-76.55731592,78319,30296,17639,11993,0.582,0.396,453,2,40132,38187,2.8,90.5,3.9,0.2,0.5,0,54664,27957,11.6,33.8,18.8,22.2,11,14.2,82.5,7.3,1,4.3,1.4,3.4,23,37196,75.6,18,6.1,0.3,5.9,2.611784371,0,115.7,3846,8483,9214,9687,8871,10344,11950,8487,4243,2020,0,0,0,0,0,0
Cecil,MD,"Cecil, MD",39.56647682,-75.94627411,102416,45853,28797,16053,0.628,0.35,1381,36,50878,51538,4.1,85.8,6.4,0.3,1.4,0,70516,32542,9.4,35.2,16.3,21.5,12.9,14.1,82.9,8.4,1.2,1.6,1.4,4.6,29.3,50620,78.6,17.1,4.2,0.1,5.8,0.972242477,0,292,5825,13132,12476,13102,12004,14846,15255,10046,4546,1594,0,0,0,0,0,0
Cedar,IA,"Cedar, IA",41.77233777,-91.13246684,18368,10703,6161,4337,0.576,0.405,551,8,9148,9220,1.9,95.8,0.7,0.2,0.3,0,62555,30362,5.4,34.9,14.2,23,11.5,16.4,82.6,6.2,0.3,2.2,1.6,7.2,25.3,9872,72.6,17.4,9.4,0.6,3,5.368551028,0,31.9,979,2336,2072,1977,2325,2379,2889,2001,1077,592,0,0,0,0,0,0
Cedar,MO,"Cedar, MO",37.72391475,-93.85445441,13862,7039,5786,1143,0.822,0.162,254,4,6883,6979,2,95,0,0,0.2,0.2,35930,20228,22.6,29,21.8,19.7,14.2,15.3,85.8,7.2,0,2.4,0.8,3.8,25.5,4908,72.8,16.8,9.9,0.4,11.2,34.84563384,0,29.5,979,1823,1587,1384,1409,1658,2017,1816,1097,395,0,0,0,0,0,0
Cedar,NE,"Cedar, NE",42.5988851,-97.25311951,8561,4996,4174,725,0.835,0.145,168,0,4349,4212,1.7,97,0,0.8,0,0,57208,29694,9.7,34.9,15.7,21.2,14.1,14,76.7,6.7,0,5.2,1.5,9.8,16.4,4599,69.5,15.4,14.5,0.6,1.6,23.80385622,0,12,567,1216,979,787,798,943,1348,890,577,341,0,0,0,0,0,0
Centre,PA,"Centre, PA",40.92058903,-77.82200624,160646,77490,36371,40054,0.469,0.517,4292,19,84313,76333,2.8,85.8,3.6,0.1,6,0,56466,28545,18.4,46.8,18.1,19.7,6.5,8.9,68.3,9.2,5.1,9.5,3.1,4.9,20.4,76433,79.4,15.2,5.3,0.2,4.6,0.615820427,0,138.7,6301,13760,43035,22557,17417,18002,18538,13143,6964,3088,0,0,0,0,0,0
Cerro Gordo,IA,"Cerro Gordo, IA",43.08177563,-93.2612239,43134,23794,12435,10941,0.523,0.46,1603,27,21011,22123,4.6,91.2,1.7,0.3,1.1,0,50569,31292,11.3,32.1,16.8,22.5,9.7,19,82.6,8.2,0.8,3.5,1.6,3.4,16.3,22051,82,11.6,6.2,0.2,4.1,4.711425206,0,77.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaffee,CO,"Chaffee, CO",38.74745778,-106.1926573,18818,13620,6180,7112,0.454,0.522,433,20,10056,8762,10.1,85.3,1.6,0.4,0.8,0,53762,28907,9.6,35.7,19.4,22.4,11.4,11,71.8,7.3,0.3,4.4,6.1,10.2,17.5,8379,71.8,18,9.5,0.6,2.5,9.825112989,0,17.6,746,1713,1782,2521,2414,2429,3338,3187,1342,555,0,0,0,0,0,0
Chambers,AL,"Chambers, AL",32.91360079,-85.39072749,33895,15269,8748,6356,0.573,0.416,1392,47,16320,17575,2.2,56.2,39.3,0.3,1,0,37342,22002,18.8,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,3.007157034,0,57.4,1929,3866,3893,4231,3775,4409,4950,3840,1973,749,0,0,0,0,0,0
Chambers,TX,"Chambers, TX",29.70972016,-94.67154501,39283,21641,17343,3997,0.801,0.185,1585,10,19679,19604,21.4,68,8,0.1,1.3,0,74368,31412,12.9,36.1,9.5,19.7,15.8,18.9,88.9,6.6,0.2,0.9,1.3,2.1,27.8,16713,75.6,16.4,7.7,0.3,6.5,4.562356001,0,58.8,3004,6788,5764,5634,6043,5463,4748,3246,1335,429,0,0,0,0,0,0
Champaign,IL,"Champaign, IL",40.13919438,-88.20046615,207946,93019,34774,55173,0.374,0.593,6824,28,103843,104103,5.7,68.3,13,0.1,10.3,0.1,49586,28463,21.4,45.3,17.8,20.8,5.6,10.5,69.4,8.4,6.5,7.8,3.3,4.4,17.9,103099,67.5,27.3,5.1,0.1,5.2,0.953793475,0,201.8,11527,21281,55048,30109,22863,20120,22105,15726,7480,3724,0,0,0,0,0,0
Champaign,OH,"Champaign, OH",40.13923427,-83.76875242,39005,19369,14086,4946,0.727,0.255,475,3,19453,19552,1.5,93.5,1.6,0.1,0.5,0.1,54495,25528,11.1,24.5,15.8,21,9.7,28.9,85,9.3,0,2.3,0.8,2.6,25.9,18119,82.4,12.1,5.5,0.1,7.3,2.57168574,0,93.5,2051,4901,4888,4475,4335,5435,5636,4053,2214,766,0,0,0,0,0,0
Chariton,MO,"Chariton, MO",39.51499357,-92.9629191,7586,4074,3109,916,0.763,0.225,75,0,3768,3818,0.9,95.3,2.2,0.1,0.1,0,43186,23463,14.2,29.6,16.6,21,12.1,20.7,77,12.5,0,1.3,1.2,8,23.2,3129,70.8,15.9,13.3,0,3.7,13.46619984,0,10.4,449,943,776,734,779,820,1188,877,558,327,0,0,0,0,0,0
Charles,MD,"Charles, MD",38.51092331,-76.98580666,156021,81617,24227,56204,0.297,0.689,3247,102,75368,80653,5.4,43.1,42.8,0.6,3.1,0.1,93973,38890,6.9,42.2,17,24.7,8.6,7.4,81.4,7.3,5.8,1.1,0.6,3.7,43.9,78635,65.7,30.9,3.2,0.2,4.5,0.612531163,0,320.2,9612,22043,21020,20995,20699,25463,21473,12348,5835,2015,0,0,0,0,0,0
Charles City,VA,"Charles City, VA",37.35358063,-77.05634116,7022,4439,1761,2624,0.397,0.591,104,5,3437,3585,1.8,41.5,45.9,6.5,0.9,0,55069,32689,13.2,23,19.7,23.7,12.8,20.8,82,9.9,0.7,2.9,1.4,3.2,32.7,3348,79.6,16.6,3.9,0,6.2,14.36162574,0,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Mix,SD,"Charles Mix, SD",43.20660134,-98.58856175,9319,3783,2552,1177,0.675,0.311,438,1,4637,4682,3.1,63.3,0.1,29.9,0.2,0.1,44104,21805,21.4,34.6,22.7,19.5,10.8,12.5,78,7.2,0.3,4.1,2.6,7.8,10.3,3829,61.7,24.8,13.1,0.4,5.2,10.76194576,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,SC,"Charleston, SC",32.82487866,-79.96512315,387847,218857,93297,121485,0.426,0.555,17480,279,187854,199993,5,63.9,27.6,0.1,1.3,0,57882,35587,15.3,41.7,19.2,23,7.4,8.7,78.8,8,1.5,2.9,2.5,6.3,23.2,195823,77.3,16.3,6.2,0.2,5.3,0.243068891,0,382.3,23970,43864,47350,68706,53290,48703,53401,41337,18111,7173,0,0,0,0,0,0
Charlevoix,MI,"Charlevoix, MI",45.37790017,-85.19614053,26160,17000,9841,6939,0.579,0.408,220,4,12868,13292,1.8,94,0.4,1.2,0.4,0.1,51567,31730,11.6,30.7,19.9,23.1,10.4,15.9,79,11.2,0.9,2.4,0.8,5.7,20.4,11902,81.6,9.4,8.6,0.4,6.2,3.82511571,0,62.3,1115,2857,2848,2612,2646,3227,4540,3782,1908,709,0,0,0,0,0,0
Charlotte,FL,"Charlotte, FL",26.90131002,-81.92949121,173236,116481,73202,42240,0.628,0.363,3741,161,84432,88804,6.9,84.4,5.5,0.3,1.2,0,46511,29243,12,29,22.3,29,12.1,7.6,79,8.8,0.2,1,3.2,7.7,24.7,59033,79.7,12.9,7,0.4,8.9,0.529352602,0,235.2,5536,12306,13625,14343,13545,19412,31837,39577,25215,9602,0,0,0,0,0,0
Charlotte,VA,"Charlotte, VA",37.01909701,-78.66314092,12176,6180,3815,2317,0.617,0.375,225,1,5991,6185,2.1,67.5,29.6,0.1,0.1,0,38350,19830,22.7,27.1,26.6,19.9,12.9,13.5,75.3,11.9,0.1,2.7,3.2,6.8,31.4,4929,69.9,21.7,8.2,0.2,6.8,8.417508418,0,26.5,657,1405,1324,1227,1181,1571,1919,1468,850,336,0,0,0,0,0,0
Charlton,GA,"Charlton, GA",30.78371028,-82.13951596,12963,4566,3419,1103,0.749,0.242,649,10,7393,5570,8.4,62,25.3,1.5,0.8,0,43257,19102,23.1,25,20.3,16.9,17.5,20.3,78.8,13.6,0.5,0.4,2.4,4.4,33.7,4412,74.8,19.8,5.2,0.2,10.4,7.467144564,0,15.7,664,1446,1612,2101,1681,1743,1649,1175,669,228,0,0,0,0,0,0
Chase,KS,"Chase, KS",38.30292938,-96.59563862,2665,1478,1114,341,0.754,0.231,107,3,1345,1320,4.4,91.6,1.5,0,0,0,42772,24469,12.6,35.7,12.5,20.5,13.9,17.4,74.1,9.9,1,3.2,3.4,8.3,20.9,1156,70.6,21.9,7.5,0,4.8,37.76435045,0,3.6,135,300,308,281,264,297,383,353,209,99,0,0,0,0,0,0
Chase,NE,"Chase, NE",40.5237198,-101.6978026,3803,1993,1740,226,0.873,0.113,164,0,1892,1911,10.5,88.9,0.1,0,0,0,54568,33708,8,34.3,9.7,22.4,18.8,14.8,76.6,4.9,0,3.7,4,10.8,12.7,2007,66.6,12.9,20.1,0.5,2.3,25.4841998,0,4.4,259,585,438,395,459,434,593,389,267,158,0,0,0,0,0,0
Chatham,NC,"Chatham, NC",35.70394416,-79.25541492,68364,48308,21055,26642,0.436,0.552,1978,61,33000,35364,12.6,71.4,11.7,0.2,1.4,0.1,59684,36933,13.3,41.8,16.5,20.1,10.4,11.3,78.6,10.3,0.7,1.3,1.1,8.1,28.7,30832,73.4,17.8,8.4,0.3,5.6,1.342822613,0,93.1,3573,8547,7246,6569,8327,10085,10935,10228,5428,2201,0,0,0,0,0,0
Chatham,GA,"Chatham, GA",32.00043026,-81.12489526,285506,133589,53288,78369,0.399,0.587,9547,191,137781,147725,6.3,49.1,39.4,0.2,2.5,0.1,52215,28765,17.3,36.2,21.1,22.6,8.1,12,78.5,9.5,2.7,2.5,2.6,4.1,21.8,132386,80,14.5,5.3,0.2,8.7,0.691013371,0,621.7,18249,33466,41420,47322,35888,33324,35048,26584,12655,5239,0,0,0,0,0,0
Chattahoochee,GA,"Chattahoochee, GA",32.34341231,-84.78809239,11096,1590,880,667,0.553,0.419,1804,1,7455,3641,15.3,59.1,17.9,0.8,2.5,0.2,46096,22774,15,31.9,18,21.6,14.3,14.1,49.2,9.5,0.4,9.8,1.9,29.2,15.5,2210,55.6,39.3,4.9,0.2,15.2,9.168423948,0,45.3,898,1211,3152,2686,1120,655,446,276,181,59,0,0,0,0,0,0
Chattooga,GA,"Chattooga, GA",34.47197698,-85.34535662,24880,10050,8064,1854,0.802,0.184,976,29,12730,12150,4.7,83.1,10.2,0.1,0.4,0,35718,17716,22.5,23.1,15.2,18.9,12.3,30.5,83.6,11.3,0.5,2.2,0.8,1.7,25.2,8839,80.2,13.3,6.2,0.4,9.5,4.03404736,0,83,1485,3094,3024,3142,3017,3302,3372,2512,1324,518,0,0,0,0,0,0
Chautauqua,NY,"Chautauqua, NY",42.2276921,-79.36691763,130846,48428,31247,16200,0.645,0.335,1017,14,64652,66194,7.2,87.8,2.4,0.3,0.6,0,44304,23962,18.5,29.9,19.4,22,9.8,18.8,81,9.2,0.4,4.7,1.1,3.7,18,56416,75.2,17,7.5,0.3,7.7,0.788003436,0,127.2,6915,14373,17274,14889,13509,15836,19439,14253,7679,3772,0,0,0,0,0,0
Chautauqua,KS,"Chautauqua, KS",37.14994405,-96.2454192,3425,1634,1397,212,0.855,0.13,25,0,1778,1647,3.4,86.7,0.4,5.3,0,0,39531,23621,14.3,32.6,14.8,15.9,19.3,17.4,75.3,11.4,0,7.5,1.1,4.8,19.7,1474,68,19.7,12,0.2,6.2,30.76923077,0,5.7,165,388,323,336,326,350,536,448,312,125,0,0,0,0,0,0
Chaves,NM,"Chaves, NM",33.36406072,-104.4665365,65454,22443,15656,6381,0.698,0.284,2169,19,32536,32918,55.6,40.4,1.5,0.8,0.6,0,42177,21177,21.2,28.3,21.5,23.6,14.3,12.3,80.9,11.3,0.9,1.8,1.2,3.9,19.8,26659,72.4,20.9,6.5,0.1,6.3,6.190513039,0,10.8,4276,9674,9305,8304,7711,7214,7879,5820,3099,1407,0,0,0,0,0,0
Cheatham,TN,"Cheatham, TN",36.26136216,-87.08903581,39713,20091,14328,5457,0.713,0.272,1127,12,19642,20071,2.7,93.4,1.3,0.2,0.5,0.3,56150,25673,12.7,32.3,16,21.9,13.2,16.5,84,9.1,0.4,1,1.2,4.4,32,19170,76.4,14.5,9,0.1,5.5,2.458996238,0,129.3,2335,4985,4639,5160,5113,6111,6043,3926,1642,485,0,0,0,0,0,0
Cheboygan,MI,"Cheboygan, MI",45.44787015,-84.50122149,25475,15849,10171,5435,0.642,0.343,187,2,12680,12795,1.3,92.2,0.8,2,0.4,0,42876,24956,16.8,26.8,21.1,24.4,13.9,13.8,81.3,10.8,1,1.4,1.3,4.3,26.8,10443,80.2,12,7.5,0.4,10.7,3.956322203,0,36.6,1006,2316,2545,2388,2458,3266,4507,4074,2119,734,0,0,0,0,0,0
Chelan,WA,"Chelan, WA",47.87046092,-120.6173956,75138,42387,22476,19005,0.53,0.448,2025,17,37352,37786,27.5,68.3,0.4,0.9,0.9,0.1,54975,27605,12.8,30.4,19.6,21.4,15.4,13.2,76.9,8.6,1.2,3.7,2.7,6.8,18.6,34063,76.2,16.2,7.4,0.2,5.8,1.295336788,0,24.8,4820,10172,9144,9637,9089,8663,10815,8652,4198,1846,0,0,0,0,0,0
Chemung,NY,"Chemung, NY",42.13891056,-76.7638805,86883,31646,19388,11573,0.613,0.366,1852,3,43018,43865,3,86.5,5.8,0.4,1.5,0,51251,27209,15.8,35.8,20.2,23.2,8.1,12.8,82.4,9,2,3.2,1.1,2.3,19.6,37726,78.5,16.1,5.3,0.2,5.3,1.198236196,0,218.1,4713,10118,10099,10476,9825,10687,12361,8967,4733,2275,0,0,0,0,0,0
Chenango,NY,"Chenango, NY",42.49430041,-75.60887553,48763,17241,11736,5126,0.681,0.297,425,7,24382,24381,2.1,94.9,0.9,0.3,0.4,0,48567,25233,14.5,32.7,17.6,20.9,10.8,18,77.2,11.4,0.4,4.9,1.1,5,24.1,21665,69.7,21.6,8.4,0.3,6.7,2.118329909,0,56.5,2569,5423,5392,5376,5080,6359,7654,5584,2942,1157,0,0,0,0,0,0
Cherokee,GA,"Cherokee, GA",34.24393976,-84.47431861,235896,144830,99587,42794,0.688,0.295,7364,102,116132,119764,10,79.9,6.2,0.1,1.9,0,75477,33466,9.4,40.7,15.1,27.1,8.8,8.4,78.9,9.1,0.5,1,1.9,8.7,34.5,117102,84.2,10.5,5.3,0,4.9,0.38643908,0,508.3,15017,35586,31940,30588,35022,38303,32313,23007,9667,2706,0,0,0,0,0,0
Cherokee,KS,"Cherokee, KS",37.16928494,-94.8462897,20501,8945,6622,2163,0.74,0.242,720,7,10087,10414,2.4,88.6,0.4,3,0.2,0.5,41101,21006,13.7,32.4,15.8,21.5,8.4,22,84.9,7.8,0,3.2,0.9,3.2,18.8,8713,75.2,17.5,7,0.2,5.4,5.015296655,0,36.8,1155,2588,2371,2145,2273,2669,2951,2181,1254,428,0,0,0,0,0,0
Cherokee,NC,"Cherokee, NC",35.1349263,-84.05970864,27463,16341,12568,3563,0.769,0.218,782,15,13483,13980,3,91.5,1.4,1.2,0.7,0,38115,21152,16.8,30.1,19.5,25.6,11.5,13.3,81.6,6.3,0.3,3.1,1.8,6.9,24.6,9925,77.4,12.6,9.8,0.2,7.7,13.98014819,0,60.3,1194,2672,2605,2540,2776,3533,4666,4984,2627,786,0,0,0,0,0,0
Cherokee,AL,"Cherokee, AL",34.17805983,-85.60638968,25855,12275,10562,1619,0.86,0.132,787,15,12862,12993,1.6,91.8,5,0.5,0.1,0,40041,23010,16.1,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,3.817376699,0,46.9,1206,2830,2803,2754,2769,3590,4100,3545,1899,536,0,0,0,0,0,0
Cherokee,OK,"Cherokee, OK",35.90692775,-94.99980896,48404,17714,11223,6027,0.634,0.34,1439,8,23854,24550,6.9,48.3,1.3,33.2,0.6,0.3,39187,19799,21.1,31.2,21.7,24.7,11.8,10.5,80.6,11.1,0.7,3.1,0.7,3.8,23.6,19399,65.7,27.8,6.4,0.2,7.9,2.055202746,0,62.7,2775,6080,9095,5951,5479,5278,5887,4790,2513,827,0,0,0,0,0,0
Cherokee,TX,"Cherokee, TX",31.837258,-95.16559897,51594,19457,15065,4196,0.774,0.216,1657,38,26307,25287,22.5,61.3,13.6,0.5,0.6,0,44294,21102,18.7,28.9,19.8,21.2,14.6,15.6,80.1,14.3,0,2,0.8,2.7,24.4,20526,73.1,20,6.8,0.2,6.1,1.899479543,0,48.3,3744,7348,7191,6285,5994,6359,6440,5352,2828,1051,0,0,0,0,0,0
Cherokee,SC,"Cherokee, SC",35.05122251,-81.61828622,56549,25270,18043,6983,0.714,0.276,1558,52,27527,29022,4.1,73.1,19.9,0.1,0.6,0.1,35286,20516,22,25.6,15.9,24.9,8.4,25.2,87.3,9.1,0.2,1.5,0.8,1.2,22.1,21599,82.7,12.7,4.1,0.4,7.8,1.745200698,0,140.9,3311,7572,7457,7256,6632,7816,7436,5827,2761,1010,0,0,0,0,0,0
Cherokee,IA,"Cherokee, IA",42.73538914,-95.62389402,11577,6503,4495,1936,0.691,0.298,446,2,5804,5773,3.4,94,1,0.4,0.4,0,53998,30973,11.9,27.7,15.3,23.7,13.6,19.7,83.4,6.7,0,1.7,0.4,7.7,16.1,5990,71.4,16.6,11.4,0.6,3.3,8.900756564,0,20.9,655,1417,1099,1204,1135,1245,1845,1345,824,552,0,0,0,0,0,0
Cherry,NE,"Cherry, NE",42.54502621,-101.1244332,5792,3265,2844,373,0.871,0.114,81,4,2871,2921,3.1,88.5,0,4,0.2,0.2,53226,27891,9,39,15.3,20,18.4,7.3,60.1,9.9,0.2,6.1,0.9,22.9,12.3,3267,61.3,19.4,18,1.3,2.6,17.57778168,0,1,392,743,622,582,688,643,835,643,413,200,0,0,0,0,0,0
Chester,PA,"Chester, PA",39.97291773,-75.74768357,514652,310650,126844,179065,0.408,0.576,8198,381,253509,261143,7.2,80.2,5.7,0.1,4.9,0,92417,46256,6.9,49.7,13.7,21.9,7.3,7.4,79,7.1,2.8,3.3,0.9,7,27.9,267812,86.3,8.2,5.4,0.1,4.8,0.190480181,0,664.7,28748,67659,68995,60524,64372,72925,73488,49559,24438,11338,0,0,0,0,0,0
Chester,TN,"Chester, TN",35.42527478,-88.6095842,17097,7578,5951,1411,0.785,0.186,754,16,8199,8898,2.4,86,9.7,0,0.5,0,43740,20497,18.2,33,14.8,24.8,10.6,16.8,84.1,8.3,0.2,2.7,1.7,3,24.8,7009,78.1,15.5,6.4,0,10.3,5.781349367,0,60,944,2144,3002,1963,2025,2086,2146,1695,903,368,0,0,0,0,0,0
Chester,SC,"Chester, SC",34.69249168,-81.1583216,32424,15757,8660,6941,0.55,0.441,1265,28,15850,16574,1.9,58.9,36.4,0.3,0.4,0,37421,20518,21.8,22.7,15.8,24.7,11.5,25.2,84.6,9.3,0.4,1.5,1.2,3,28.8,12706,80.5,15.2,4.2,0.2,9.8,3.10135219,0,57.1,1826,4163,3705,3892,3520,4413,4677,3593,1782,680,0,0,0,0,0,0
Chesterfield,VA,"Chesterfield, VA",37.37373208,-77.5868014,335594,203188,93326,106935,0.459,0.526,7302,120,161644,173950,8.2,62.8,22.4,0.2,3.4,0,76969,35370,7.2,42.1,14.8,25.6,7.9,9.7,85,7.8,0.5,0.7,1.2,4.8,26.4,171886,77.3,18.1,4.5,0.1,5.6,0.283445105,0,747.1,20848,46714,45873,41855,46638,48402,46198,32983,14110,4935,0,0,0,0,0,0
Chesterfield,SC,"Chesterfield, SC",34.64137396,-80.1564014,46127,18876,11297,7431,0.598,0.394,1513,46,22685,23442,4.2,60.8,32,0.4,0.5,0.1,38469,19768,23.8,22.7,16.3,22.1,12.7,26.2,84.9,9.6,0.4,0.9,3,1.2,23.9,19051,80.2,13.5,6.1,0.2,9,2.190580504,0,58.5,2558,5716,5503,5372,5189,6500,6521,5199,2422,774,0,0,0,0,0,0
Cheyenne,NE,"Cheyenne, NE",41.21999357,-102.9941693,10012,4765,3813,855,0.8,0.179,130,0,4899,5113,6.7,89.9,0.4,0.3,0.8,0,58770,32995,10.9,39.3,16.5,25.4,8,10.8,81.3,11.7,0,1.8,1.5,3.8,13.3,5587,81.8,12.2,6,0,2.5,11.22334456,0,8.4,571,1249,985,1124,1116,1109,1348,978,532,298,0,0,0,0,0,0
Cheyenne,KS,"Cheyenne, KS",39.78580976,-101.7318201,2677,1400,1158,220,0.827,0.157,120,5,1324,1353,6.5,90.3,0,0,0.9,0,47167,27934,11.2,37.7,13.6,21.7,15.7,11.3,71.7,8.6,0,10.1,2.2,7.4,13.2,1248,64.4,21.8,13,0.8,1.7,37.63643207,0,2.7,180,291,288,247,290,248,399,350,207,160,0,0,0,0,0,0
Cheyenne,CO,"Cheyenne, CO",38.82777431,-102.6032558,2127,1105,966,127,0.874,0.115,15,0,1086,1041,14.9,80,0,0,3.1,0.1,54907,23698,11.8,37.1,12.1,19.2,17.5,14.1,73.1,5.7,0,6.6,2.9,11.7,12.6,931,60.4,22.8,16.4,0.4,8.1,109.229929,0,1,131,279,194,195,208,204,280,215,104,66,0,0,0,0,0,0
Chickasaw,MS,"Chickasaw, MS",33.91983202,-88.9481545,17305,8143,4173,3808,0.512,0.468,880,29,8393,8912,4.4,50.5,43.3,0.1,0.1,0,33579,19609,22.9,19.7,12.1,23.4,6.8,38.1,82,14.3,0,1.3,1.2,1.3,24.1,6746,77.5,16.6,6,0,7.6,5.84692744,0,34.7,1134,2407,2211,2234,1969,2070,2188,1666,943,349,0,0,0,0,0,0
Chickasaw,IA,"Chickasaw, IA",43.06001295,-92.31773347,12140,6617,4308,2233,0.651,0.337,393,1,6053,6087,2.2,96.3,0.4,0.3,0.4,0,50688,27973,8.9,30.4,15.6,18.2,12.8,23,78.9,8.4,0.3,4.7,0.7,6.9,19.6,6269,76,13.8,9.9,0.3,2.5,8.38012235,0,24.7,720,1598,1381,1149,1315,1433,1883,1335,786,364,0,0,0,0,0,0
Chicot,AR,"Chicot, AR",33.26458973,-91.29539209,11008,4093,1750,2252,0.428,0.55,1056,23,5401,5607,5.2,39.1,54.1,0.4,0.5,0,32412,20560,29.4,30.1,19.9,23.9,8.9,17.2,84.7,6.4,1.3,1.7,4.1,1.7,21.8,3659,71.9,24.7,3.4,0,10.1,9.883376161,0,18.3,599,1361,1236,1158,1102,1253,1607,1127,677,318,0,0,0,0,0,0
Childress,TX,"Childress, TX",34.5293041,-100.2077916,7064,2259,1928,305,0.853,0.135,125,0,3933,3131,21.7,64.1,7.2,1,1.4,3.4,40432,18694,19.6,31.8,14.2,21.9,14.7,17.4,80.9,15.5,0,0.9,0,2.7,15.7,2515,68.9,25.6,5.4,0,5.2,13.68738024,0,10.1,353,829,1201,1472,905,661,747,607,374,142,0,0,0,0,0,0
Chilton,AL,"Chilton, AL",32.85044126,-86.7173256,43805,19260,16052,3056,0.833,0.159,1946,33,21554,22251,7.7,80.4,9.5,0.4,0.4,0,43501,23368,19.4,25.3,14.5,23.7,15.5,21,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675,81.1,14,4.5,0.4,6.7,2.250832808,0,63,2730,5893,5396,5571,5455,5813,5884,4461,2181,769,0,0,0,0,0,0
Chippewa,WI,"Chippewa, WI",45.06939744,-91.28068855,63445,35945,21316,14001,0.593,0.39,1958,24,33015,30430,1.7,93.9,1.3,0.2,1.3,0,55240,27020,10.7,30,16.7,20.5,11,21.8,82,8.4,0.1,2.3,1.2,6,21.9,31454,81.8,10.4,7.4,0.3,3.7,1.546599029,0,61.9,3508,8156,7023,7890,8076,8440,9517,6800,3294,1431,0,0,0,0,0,0
Chippewa,MI,"Chippewa, MI",46.29552653,-84.54353449,38023,17675,10682,6651,0.604,0.376,187,0,20948,17075,1.8,70.1,6.4,13.9,1,0.1,44030,21958,17.1,29.1,27,23.5,7.6,12.7,77.4,11.7,0.8,5.1,1.4,3.6,16.8,14986,65.8,26.7,7,0.6,9,2.677447857,0,24.7,1795,3877,5636,4973,4706,4624,5164,3838,2128,776,0,0,0,0,0,0
Chippewa,MN,"Chippewa, MN",45.02343421,-95.56403693,12040,6611,4250,2226,0.643,0.337,497,3,5994,6046,6.3,88.8,0.6,1.4,0.7,1,57601,29354,11.1,32.1,20,18.6,12,17.3,79.4,8.5,1,3.3,0.9,6.9,15.3,6270,77.4,14.3,8.1,0.3,2,8.474576271,0,21.4,816,1579,1335,1365,1300,1304,1699,1312,784,430,0,0,0,0,0,0
Chisago,MN,"Chisago, MN",45.5021011,-92.90861945,54297,34493,21915,11803,0.635,0.342,1249,2,28102,26195,2,93.8,1.3,0.4,1,0,76747,32105,5.4,34,17.3,22.9,12.7,13.2,82.2,8,1.6,1.5,1.2,5.5,32.8,28244,82.2,12,5.7,0.1,4.2,1.767440216,0,129.9,3253,7164,6562,6799,7019,8275,8238,5179,2473,960,0,0,0,0,0,0
