county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Clarendon,SC,"Clarendon, SC",33.66610974,-80.21647898,34156,16733,8361,8250,0.5,0.493,1195,68,16822,17334,3,47.4,48.3,0.1,0.3,0,35838,20616,23.3,29,17.4,23.1,11.9,18.6,82.1,11.8,0.9,1.1,1.3,2.8,29.6,11777,77,17.5,5.4,0.1,12,2.963401985,0,57.6,1555,3667,4238,3773,3399,4104,5050,4713,2508,693,0,0,0,0,0,0
Clarion,PA,"Clarion, PA",41.19265812,-79.42413524,38747,19213,14363,4615,0.748,0.24,245,4,18932,19815,0.8,96.3,1,0.2,0.5,0,44373,23595,17.5,30.1,22.9,19.3,11.4,16.3,82.9,6.7,0.2,5.1,1.2,3.9,22.5,17280,79.9,13.3,6.5,0.3,6.6,2.601592174,0,66.6,2009,3975,6445,4504,3880,4841,5522,4196,2443,964,0,0,0,0,0,0
Clark,NV,"Clark, NV",36.21458855,-115.0130241,2112436,914373,402271,493740,0.44,0.54,82966,1517,1056002,1056434,30.7,44.1,10.8,0.4,9.5,0.7,54882,27719,14.6,27.2,29.2,26.1,7.9,9.6,78.9,9.9,3.7,1.6,2.3,3.6,24.5,982033,84.5,10.5,4.9,0.1,8.3,0.044116706,0,247.3,139917,292166,269126,332910,308371,296307,264158,201997,96712,29983,0,0,0,0,0,0
Clark,WA,"Clark, WA",45.77568046,-122.4829204,457474,272477,125833,139863,0.462,0.513,4566,79,226178,231296,9,79.4,1.8,0.5,4.4,0.7,67832,32162,10.3,36.3,17,23.7,9.6,13.5,79.2,8.8,2.2,1.9,1.3,6.6,26.4,213776,80.5,13.4,5.9,0.2,6.2,0.204816883,0,676.2,29559,65516,59155,64060,64321,63069,61647,46709,20282,7539,0,0,0,0,0,0
Clark,KY,"Clark, KY",37.9689263,-84.14615986,35757,18128,11811,6004,0.652,0.331,565,12,17426,18331,2.7,90.5,5,0.1,0.5,0,51547,26219,15,33.4,15,24,10.8,16.8,82.4,9.8,0.1,1.8,2.2,3.5,23.1,15907,79.6,15.4,4.9,0.1,6.7,2.757631746,0,141.1,2202,4550,4116,4401,4376,5059,5065,3815,1951,714,0,0,0,0,0,0
Clark,IN,"Clark, IN",38.48015445,-85.70510334,114893,58040,33656,23088,0.58,0.398,3310,67,55952,58941,5.3,83.9,6.7,0.1,0.7,0,52834,26875,9.7,31.1,16.9,25.5,7.6,18.8,85.7,8.3,0.9,0.9,0.9,3.3,24,56087,85.9,10.1,4,0,5.7,0.845294247,0,295.6,7221,14753,13432,16241,15644,15748,15797,11328,5274,1922,0,0,0,0,0,0
Clark,OH,"Clark, OH",39.91592258,-83.78498252,135520,62870,38217,23625,0.608,0.376,2924,57,65575,69945,3.2,84.4,8.1,0.1,0.6,0.1,46275,25270,16.6,29.1,18.5,23.2,8.4,20.7,81.9,9.7,0.9,2.8,1.2,3.5,22,60438,81.6,12.8,5.3,0.3,7.7,0.745806702,0,348,7930,16891,17568,15745,14553,17084,18692,14920,7856,3346,0,0,0,0,0,0
Clark,AR,"Clark, AR",34.04613432,-93.17484713,22495,8358,4605,3413,0.551,0.408,530,5,10697,11798,4.6,69.1,23.8,0.3,0.7,0,37144,20382,21.5,33.6,20.6,23.7,7.8,14.3,78.8,12.6,0.4,3.7,0.7,3.8,21.3,10291,75.8,18.7,5.3,0.2,4.5,4.480286738,0,26.6,1161,2356,5418,2438,2121,2327,2553,2049,1180,458,0,0,0,0,0,0
Clark,WI,"Clark, WI",44.73483377,-90.61207486,34513,14898,10002,4524,0.671,0.304,1021,17,17507,17006,4.4,93.5,0.4,0.2,0.4,0,49131,23437,13.2,27.9,14.5,17.3,15.1,25.2,73.1,8.2,0,4.4,2.9,11.5,21.1,15796,76.4,8.4,14.4,0.8,3.3,2.875711739,0,28.7,2832,5696,4487,3387,3692,4049,4805,3107,1793,861,0,0,0,0,0,0
Clark,SD,"Clark, SD",44.85834507,-97.72925109,3642,1850,1373,437,0.742,0.236,145,1,1877,1765,1.8,94.8,0,1.7,0.9,0,47500,26759,13.3,37.3,15.3,18.4,15.6,13.3,68.6,11.1,0,9.6,2,8.8,20.7,1773,66.2,14,18.7,1.1,4,26.76659529,0,3.9,392,478,377,433,352,358,558,441,235,115,0,0,0,0,0,0
Clark,IL,"Clark, IL",39.33425789,-87.78705622,15924,8340,6215,1990,0.745,0.239,334,18,7827,8097,1.5,96.7,0.3,0.1,0.4,0,52068,28495,14.3,25.5,17.3,21.1,11.8,24.2,80.2,12,0,1.7,1.2,4.9,22.4,7675,80.4,10.9,8.4,0.2,6.5,6.476264491,0,32.6,919,1992,1771,1722,1807,2012,2276,1706,950,441,0,0,0,0,0,0
